Country,January,February,March,April,May,June,July,August,September,October,November,December
Usa,621,"1,857","2,748",911,"2,477","3,291","3,626","3,876","3,116","3,841","5,705","7,257"
Japan,720,"1,339","1,173",824,"1,306","1,103","1,155","1,383","1,489","1,462","1,483","1,587"
China,296,695,875,134,851,"1,004","1,014",953,855,"1,004",915,"1,078"
Residences,686,613,617,419,532,570,701,809,809,773,973,"1,066"
India,277,377,741,231,210,245,249,355,"1,541",704,"1,010","1,262"
Canada,117,275,238,87,213,269,488,628,632,827,"1,197","1,810"
South Korea,74,571,407,129,466,426,525,656,663,730,827,982
Turkey,419,315,346,331,362,340,375,388,376,374,372,376
United Kingdom,162,246,271,127,184,231,280,372,324,475,720,956
United Arab Emirates,245,146,226,313,199,246,271,244,294,232,152,165
Saudi Arabia,353,233,191,75,125,169,160,147,203,206,176,214
Australia,88,115,91,61,106,84,136,161,139,178,336,689
Germany,39,131,120,38,89,92,139,221,205,279,348,336
Indonesia,85,99,141,39,114,144,94,28,63,273,328,480
Commonwealth Of Independent States,141,109,157,91,105,137,141,195,206,189,228,171
Bahrain,130,106,144,149,178,165,172,183,158,159,135,185
Vietnam,5,20,23,9,7,29,69,69,43,601,363,547
Malaysia,88,97,126,53,84,95,103,85,145,169,266,309
Taiwan,91,135,132,21,85,70,131,155,169,158,228,244
Netherlands,61,68,85,63,84,77,124,149,179,314,152,154
Thailand,87,107,81,68,101,119,134,115,150,119,184,199
France,62,85,83,47,78,72,94,182,182,258,152,130
Qatar,127,45,118,121,114,109,138,109,155,122,79,71
Spain,75,97,84,61,66,75,82,132,134,154,142,118
Italy,47,78,130,74,78,105,109,113,147,100,132,99
Egypt,99,78,77,57,70,62,76,103,101,120,113,120
Russian Federation,81,73,46,26,65,78,69,79,145,125,138,102
Oman,70,55,83,61,55,67,65,68,62,102,106,111
South Africa,40,64,39,46,64,60,91,96,67,85,97,77
Kuwait,62,15,19,11,28,18,43,79,67,95,106,119
Singapore,9,43,43,22,34,47,52,54,62,74,105,108
Belgium,60,17,28,24,43,49,67,52,69,112,79,48
Guam,4,16,38,14,23,37,70,49,26,88,105,174
Brazil,36,40,36,35,57,57,61,72,61,48,56,53
Ireland,20,37,26,13,26,28,34,55,55,65,103,138
Switzerland,16,41,38,28,39,45,58,62,52,82,120,17
Pakistan,62,60,55,19,33,16,29,34,70,70,59,77
Poland,45,50,37,32,35,37,31,36,48,53,62,54
Sweden,13,40,24,13,22,25,29,39,52,70,87,94
Norway,49,30,18,3,14,27,22,31,72,58,94,90
Greece,49,32,36,12,29,36,38,45,58,48,63,54
Israel,9,17,128,20,21,18,44,48,12,42,49,44
Austria,12,24,19,4,12,13,42,27,36,69,67,56
Papua New Guinea,30,21,28,17,25,27,25,24,19,43,69,53
Hong Kong,10,30,19,10,22,31,30,22,35,34,50,61
Denmark,10,30,18,14,11,19,23,34,34,38,63,59
New Zealand,35,12,19,11,23,23,34,37,26,36,36,53
Portugal,29,34,24,18,32,20,30,29,32,38,34,19
Bangladesh,17,8,50,12,4,3,7,8,25,70,46,73
Sri Lanka,16,22,18,18,13,17,19,28,29,33,52,36
Nigeria,19,22,29,8,33,31,35,37,24,31,19,12
Myanmar,2,7,11,14,9,14,28,16,6,33,32,99
Mexico,19,12,10,9,20,17,21,32,31,23,24,25
Finland,4,22,11,6,7,14,17,23,21,17,40,30
Jordan,7,14,15,11,14,21,8,21,24,28,24,22
Argentina,14,10,10,9,11,21,14,19,18,21,25,32
Colombia,16,9,6,5,18,10,26,14,18,23,21,18
Nepal,14,26,20,4,6,3,5,5,11,30,26,28
Iran,15,10,8,6,8,7,15,16,13,27,26,21
Venezuela,6,7,2,7,4,3,12,8,5,5,9,7
Peru,2,5,4,2,4,3,6,10,6,3,7,7
Cambodia,3,3,1,-,2,1,2,4,4,8,4,8
Brunei,5,5,1,-,1,4,,2,8,4,4,3
Luxembourg,2,2,1,-,,2,3,5,2,2,6,2
Macau,1,2,2,-,1,1,2,1,6,1,2,8
Laos,1,1,1,1,1,2,1,,2,1,4,-
Andorra,-,-,-,-,,,,,-,-,1,-
Nauru,-,-,-,-,,,,,-,-,-,-
