Country,January,February,March,April,May,June,July,August,September,October,November,December
South Korea,"198,145","156,555","122,387","114,973","113,488","111,640","127,190","129,734","125,236","122,390","127,935","174,578"
China,"111,344","146,536","114,549","109,789","78,071","85,800","119,990","106,789","102,374","87,243","97,513","97,964"
Usa,"109,154","84,835","90,961","85,573","92,754","94,567","91,684","65,567","59,600","76,090","79,089","104,597"
Japan,"57,038","60,262","63,878","49,021","45,744","40,119","50,591","65,136","53,342","45,108","47,776","53,806"
Australia,"30,924","19,480","23,623","25,292","21,279","19,663","20,817","17,578","20,551","21,167","22,460","36,994"
Taiwan,"18,948","21,908","19,021","22,950","18,545","19,168","23,151","21,004","22,152","19,498","16,589","19,477"
Canada,"28,913","19,278","22,310","19,148","19,484","11,965","17,369","12,848","11,351","15,477","18,637","29,666"
United Kingdom,"18,111","15,443","22,967","17,913","15,348","12,661","18,847","15,376","11,637","14,714","16,247","21,780"
Singapore,"13,627","14,490","16,281","15,493","15,971","15,874","13,145","12,612","13,182","13,427","13,910","13,784"
Malaysia,"12,012","12,322","12,756","11,771","12,179","12,623","11,036","11,578","13,211","11,491","12,649","11,618"
India,"13,779","9,285","9,935","10,021","10,569","9,500","10,950","9,576","8,974","9,033","11,297","8,205"
Hong Kong,"9,284","13,642","13,857","10,324","10,308","12,546","9,533","7,457","7,411","8,591","7,093","7,946"
Germany,"8,822","9,826","10,161","7,551","6,532","4,828","6,413","6,127","5,484","6,733","7,888","11,733"
Indonesia,"6,464","5,756","7,773","6,466","6,093","8,451","5,505","5,317","6,186","6,642","6,553","5,446"
France,"8,438","9,737","8,489","8,628","5,561","3,339","5,253","4,556","3,397","4,580","5,641","6,781"
Residences,"7,446","7,213","7,058","5,925","4,862","4,740","5,375","4,448","4,288","5,301","7,423","6,928"
Thailand,"4,359","4,732","4,985","7,126","6,339","4,612","4,975","4,199","4,304","4,816","5,032","4,314"
Vietnam,"3,147","4,357","4,298","4,927","5,173","5,473","4,642","3,871","4,145","4,113","4,405","3,783"
Saudi Arabia,"4,532","3,609","3,745","3,763","1,832","5,830","6,499","4,851","3,211","3,452","3,548","2,095"
