Country,January,February,March,April,May,June,July,August,September,October,November,December
Spain,"3,999","3,206","4,204","3,012","2,708","2,504","4,527","5,502","2,650","3,415","4,180","4,226"
Netherlands,"3,434","2,860","3,136","3,405","2,945","2,195","3,922","2,426","2,018","2,730","3,536","4,444"
Italy,"4,174","3,101","3,098","2,910","2,055","2,065","2,861","3,316","2,007","2,220","3,043","4,332"
New Zealand,"3,549","1,904","2,503","2,828","2,596","2,544","2,720","2,333","2,335","2,487","2,779","4,763"
Guam,"2,901","2,509","3,190","2,691","3,286","4,040","3,528","1,775","1,728","2,088","2,164","2,457"
Switzerland,"3,397","3,298","3,404","3,311","2,220","1,386","2,662","1,366","1,609","2,048","2,395","3,979"
Russian Federation,"4,396","3,519","3,426","2,614","1,655","1,171","1,269","1,251","1,420","2,011","3,328","3,907"
Sweden,"3,985","3,620","3,111","1,901","1,483","1,952","1,494",926,"1,051","1,528","1,892","5,142"
Norway,"2,389","2,055","2,166","1,460","1,299","2,834","3,178","1,157","1,134","1,328","1,552","3,019"
Israel,"2,360","2,065","2,412","1,829","1,328",869,"1,405","1,340","1,899","1,137","1,703","1,996"
Ireland,"1,614","1,209","1,873","1,452","1,574","2,324","2,273","1,378","1,144","1,332","1,393","2,485"
Denmark,"2,141","2,095","2,021","1,429","1,244","1,023","1,517",845,965,"1,146","1,281","2,177"
Belgium,"1,493","1,353","1,575","1,554","1,223","1,474","2,241","1,098",953,"1,181","1,393","1,747"
United Arab Emirates,"1,282","1,369","2,200","1,440","1,288","1,338","1,726","1,208",680,790,995,"1,086"
Austria,"1,742","1,435","1,204","1,151",924,750,"1,446",899,761,891,"1,069","1,921"
Poland,"2,078","1,564","1,274","1,100",683,464,572,471,655,835,"1,585","1,287"
Commonwealth Of Independent States,"1,375","1,129","1,462",857,938,757,595,644,764,745,990,"1,258"
Myanmar,650,662,920,890,905,776,717,714,698,860,883,955
Brunei,702,953,"1,096",650,771,946,659,533,781,636,793,"1,013"
Macau,796,882,"1,000",768,869,899,816,643,544,730,625,764
Nepal,864,758,"1,634",895,938,701,380,342,476,322,328,"1,058"
Turkey,"1,396",911,798,720,592,539,522,666,488,540,784,659
Papua New Guinea,814,427,594,698,665,857,671,613,730,802,802,808
South Africa,703,640,674,655,477,605,542,432,498,527,560,"1,230"
Brazil,776,709,701,723,539,420,456,469,476,477,601,"1,017"
Finland,998,771,660,532,445,444,320,288,383,535,693,"1,150"
Kuwait,695,521,526,561,372,670,712,639,375,502,507,368
Sri Lanka,456,467,434,530,528,620,659,581,659,516,553,443
Portugal,459,411,456,541,462,235,309,396,354,475,777,674
Bangladesh,463,434,387,403,435,441,432,454,578,531,573,364
Pakistan,396,336,342,387,344,393,523,437,520,491,524,306
Mexico,318,261,403,359,380,309,400,360,363,362,431,302
Cambodia,306,278,314,384,461,299,329,283,353,463,443,241
Qatar,435,396,458,399,247,417,308,324,188,209,180,220
Bahrain,312,253,370,306,221,372,486,325,237,258,283,215
Argentina,586,513,457,422,294,177,173,145,150,161,182,208
Greece,304,336,324,234,296,239,198,223,238,272,424,365
Oman,262,231,201,267,115,258,340,227,239,200,253,142
Iran,216,169,470,146,207,189,151,153,157,195,194,209
Colombia,152,154,167,185,187,161,221,238,228,242,224,230
Egypt,175,141,188,153,131,150,233,204,188,203,202,187
Nigeria,171,136,188,141,348,204,165,125,138,187,168,133
Laos,64,70,103,118,109,101,98,53,85,103,167,112
Jordan,79,57,54,76,55,68,149,122,84,114,149,122
Peru,82,82,104,84,59,58,69,107,87,112,87,107
Luxembourg,84,81,98,95,72,51,90,97,34,47,63,118
Venezuela,37,18,36,33,24,25,35,26,34,61,50,44
Andorra,38,25,35,30,44,50,47,2,-,2,,-
Nauru,1,-,-,13,2,2,1,5,2,7,2,3
