Country,January,February,March,April,May,June,July,August,September,October,November,December
South Korea,"206,062","115,943","14,751",79,32,47,202,344,236,323,321,537
Usa,"106,444","72,602","20,656",110,56,415,993,954,"1,073","1,843","2,137","4,533"
China,"153,109","11,313","4,132",3,2,66,174,84,247,346,448,508
Japan,"50,667","60,583","20,424",68,28,60,446,532,611,874,"1,024","1,347"
Australia,"28,884","19,204","6,553",8,4,9,43,69,102,122,163,169
Canada,"27,929","18,900","6,644",17,8,44,91,110,175,312,308,735
Taiwan,"33,488","12,026","2,846",2,1,3,13,31,31,76,57,70
United Kingdom,"18,856","13,313","5,626",78,33,88,201,191,266,385,367,576
India,"14,731","8,408","3,220",82,13,47,68,512,555,448,361,569
Germany,"10,272","10,504","4,248",27,36,21,96,71,101,144,144,229
Residences,"10,969","7,598","3,290",119,18,66,214,441,601,724,737,813
France,"9,405","10,457","4,068",15,2,20,32,95,85,119,81,151
Malaysia,"10,385","8,860","3,593",11,3,1,26,66,56,90,170,98
Singapore,"9,182","7,349","3,259",4,2,9,30,21,23,34,35,50
Indonesia,"5,987","4,631","2,669",8,-,3,16,50,61,64,120,125
Russian Federation,"6,184","4,485","1,469",6,1,1,11,83,88,74,127,114
Hong Kong,"10,962",751,292,18,1,93,52,73,91,36,27,48
Vietnam,"4,896","4,935","1,508",1,2,2,2,10,3,20,18,9
Thailand,"3,951","3,919","1,444",27,5,5,33,86,61,72,88,97
Spain,"4,337","3,485","1,330",13,2,29,37,71,70,57,78,112
Italy,"4,223","3,227",837,21,8,11,54,110,82,137,155,111
Netherlands,"4,078","3,064","1,289",4,6,21,51,65,68,105,94,116
Switzerland,"3,103","2,790",941,3,2,3,17,27,26,40,55,87
Saudi Arabia,"3,451","2,314",682,2,2,11,20,34,41,52,144,261
Sweden,"3,173","2,738",877,6,-,3,17,15,31,46,28,62
New Zealand,"3,854","2,122",768,3,2,5,11,14,24,23,30,27
Poland,"2,493","1,987",723,2,1,1,8,22,37,46,40,69
Denmark,"2,101","1,882",704,1,-,-,17,26,24,30,29,34
Israel,"2,693","1,441",512,,,1,13,10,5,28,20,22
Commonwealth Of Independent States,"1,776","1,069",482,16,,5,41,282,247,190,251,285
Norway,"1,949","1,676",507,4,1,6,14,16,50,55,47,40
Austria,"1,682","1,609",474,,2,-,8,11,16,16,21,36
Belgium,"1,634","1,308",542,5,-,18,24,21,37,44,52,71
Ireland,"1,750","1,233",462,1,2,2,3,17,19,21,37,74
Turkey,"1,145",847,489,3,,1,64,107,168,214,284,297
Guam,"1,351","1,041",383,-,-,2,9,3,5,30,12,46
Myanmar,"1,327",889,563,2,1,-,1,10,10,11,34,29
Brazil,"1,109",940,439,7,1,3,3,22,62,44,56,64
United Arab Emirates,533,531,397,4,15,3,46,138,232,242,148,229
South Africa,"1,106",466,260,12,5,2,15,63,44,65,56,65
Finland,935,803,310,3,-,2,6,10,9,13,18,26
Portugal,935,666,324,1,1,6,13,14,20,31,25,36
Papua New Guinea,792,339,198,2,-,10,8,24,11,4,19,27
Argentina,711,426,223,3,-,2,-,11,11,12,13,20
Pakistan,515,424,194,6,1,1,4,19,36,33,56,51
Greece,444,308,169,4,-,-,19,106,57,95,71,52
Bangladesh,519,433,192,2,-,-,11,2,23,4,15,16
Egypt,332,272,147,12,2,5,13,40,90,91,98,111
Kuwait,486,416,121,4,-,-,3,2,35,26,14,64
Sri Lanka,463,335,150,4,-,1,8,22,45,21,44,24
Bahrain,229,231,144,19,39,18,26,47,48,78,75,140
Nigeria,416,379,209,1,-,-,1,7,2,8,10,9
Brunei,540,353,109,-,1,4,5,-,12,12,1,-
Qatar,132,137,134,56,15,-,7,84,148,137,44,93
Mexico,497,265,145,3,1,2,5,12,9,17,10,17
Cambodia,421,390,119,3,-,-,-,1,3,1,2,2
Nepal,520,267,89,1,-,1,1,8,8,12,9,24
Macau,731,35,13,-,-,1,1,-,1,-,6,1
Colombia,334,234,93,2,-,-,2,11,9,10,14,13
Oman,213,135,84,4,-,4,22,18,24,66,70,60
Iran,192,142,33,2,-,-,-,2,12,7,10,11
Jordan,132,118,57,1,-,1,2,8,22,12,23,21
Peru,160,123,49,1,-,-,2,4,1,4,2,4
Laos,88,85,17,1,-,1,3,1,,-,2,5
Venezuela,80,41,26,,-,-,1,4,10,5,11,7
Luxembourg,77,55,15,,-,-,-,-,,3,2,4
Andorra,5,,3,,-,-,-,-,,-,-,-
Nauru,2,,1,-,-,-,1,-,,-,1,-
