Country,January,February,March,April,May,June,July,August,September,October,November,December
South Korea,"174,119","155,532","128,968","112,765","110,978","110,120","140,150","145,431","119,020","119,469","119,019","133,500"
Usa,"93,202","92,185","79,303","66,359","72,672","90,179","86,438","57,254","56,550","69,982","75,511","108,256"
Japan,"28,454","38,968","37,925","27,153","25,961","23,383","32,020","46,909","32,885","28,255","30,717","35,686"
China,"33,389","48,925","27,254","31,585","27,475","22,594","28,521","21,298","19,093","20,167","17,303","14,618"
Australia,"28,013","19,681","22,907","22,429","19,437","18,508","19,090","16,376","20,903","21,383","22,744","40,744"
Canada,"25,088","22,959","19,587","17,532","16,017","11,939","17,110","14,705","14,704","17,930","19,804","26,569"
Taiwan,"16,678","24,263","16,406","20,795","16,087","20,723","21,382","18,752","14,410","13,621","12,917","12,702"
United Kingdom,"14,540","13,911","19,238","13,467","12,188","9,582","14,432","11,203","8,802","11,297","13,307","18,329"
Singapore,"11,475","12,341","13,044","13,692","13,858","13,966","12,084","12,770","12,449","13,133","14,346","14,106"
Malaysia,"7,287","10,240","7,164","8,412","8,535","8,329","7,186","7,269","8,626","7,844","8,103","6,718"
Germany,"9,325","9,951","10,251","6,638","5,084","3,121","4,813","4,449","3,929","5,303","7,634","9,388"
Hong Kong,"6,233","9,098","8,615","6,167","6,227","6,476","6,235","5,945","5,415","6,241","6,027","6,597"
India,"9,865","7,393","6,157","6,041","5,802","5,796","8,458","6,324","5,398","5,388","6,747","5,626"
France,"7,772","9,486","7,277","6,317","3,873","1,957","3,337","2,897","2,242","3,459","5,698","6,428"
Vietnam,"4,552","6,092","5,395","6,228","6,201","6,273","4,692","4,079","3,795","3,918","3,943","2,930"
Indonesia,"5,554","5,271","4,358","5,702","4,799","5,187","4,739","4,378","4,871","4,619","4,328","3,279"
Spain,"3,613","3,304","3,716","2,712","2,610","2,959","4,749","6,918","3,093","3,346","4,836","4,290"
Thailand,"3,340","3,573","3,746","4,919","3,948","3,958","3,631","3,606","3,700","4,207","4,015","3,253"
United Arab Emirates,"3,010","2,875","3,989","4,191","3,226","3,294","3,827","3,311","2,988","3,006","3,107","3,202"
Guam,"2,816","2,697","3,459","2,638","3,148","4,115","4,117","2,486","2,304","3,007","3,280","3,542"
Netherlands,"3,984","3,546","3,107","3,038","2,424","1,521","3,582","2,038","1,717","2,302","3,531","3,936"
Italy,"3,530","3,073","2,627","2,260","1,268","1,478","1,901","3,000","1,170","1,556","2,496","5,584"
New Zealand,"2,869","1,794","2,089","2,331","1,952","2,198","1,998","1,709","1,912","2,000","2,342","4,999"
Russian Federation,"3,266","3,237","2,707","2,537","1,478","1,132","1,056","1,181","1,358","2,319","3,764","3,567"
Switzerland,"2,843","3,293","3,080","2,717","1,656",946,"2,251",949,"1,321","1,777","2,444","3,773"
Saudi Arabia,"1,640","1,788","1,046","2,214","1,534","2,369","2,026","1,869","2,297","2,067","2,301","1,278"
Norway,"1,639","1,714","1,504","1,012",807,"2,503","3,334",834,847,"1,039","1,354","2,513"
Sweden,"2,187","2,071","1,629","1,203",908,"1,560","1,368",636,733,"1,061","1,477","3,311"
Ireland,"1,509","1,281","1,355","1,197","1,249","1,812","1,536","1,047",888,"1,214","1,138","1,885"
Israel,796,"1,021","1,077","1,678","1,464",940,"1,016",804,"1,594","1,769","1,676","1,702"
Poland,"2,360","2,176","1,437","1,366",591,375,377,390,551,965,"2,784","1,922"
Belgium,"1,378","1,603","1,479","1,167",959,"1,081","1,735",843,825,933,"1,443","1,648"
Austria,"1,931","1,799","1,288","1,103",865,790,"1,236",858,556,805,"1,202","1,766"
Denmark,"1,744","1,712","1,656",972,674,644,"1,049",549,680,988,"1,343","1,748"
Turkey,"1,525","1,164","1,106","1,104",957,"1,040",953,999,"1,091",987,"1,018","1,068"
United States Minor Outlying Islands,559,536,612,835,"1,281","1,424","1,368","1,083",922,"1,115","1,149","1,381"
Qatar,951,890,866,"1,474",949,"1,147","1,106","1,044",850,830,727,962
Myanmar,"1,124",750,"1,846",764,"1,092",965,566,427,340,531,447,291
Papua New Guinea,587,476,732,644,566,741,693,558,"1,088",813,944,670
