Country,January,February,March,April,May,June,July,August,September,October,November
Peru,80,82,163,82,74,53,43,64,60,90,58
Uzbekistan,105,72,71,25,72,46,74,73,89,105,103
Iran,57,59,277,52,54,24,33,49,65,45,79
Ghana,66,48,81,42,67,48,60,71,106,98,79
Timor,66,56,24,32,67,82,137,96,70,58,69
Kenya,179,26,33,57,52,54,62,59,77,98,53
Fiji,46,50,41,76,79,56,69,40,78,55,94
Tunisia,57,64,41,111,46,29,49,77,49,67,91
Cameroon,78,98,88,35,52,48,67,62,65,39,43
Belarus,95,99,93,46,73,19,27,10,20,61,94
Solomon Islands,43,56,36,56,66,53,89,53,59,56,48
Marshall Islands,47,36,59,30,41,90,61,35,50,54,91
Costa Rica,75,36,30,44,63,29,33,38,43,48,47
Georgia,38,59,50,36,43,56,32,31,43,35,48
Jordan,59,56,39,47,51,29,32,47,38,27,45
Zimbabwe,57,40,47,29,39,32,47,32,41,56,38
Lebanon,26,40,68,46,48,26,37,25,45,43,52
Isle Of Man,53,37,41,45,28,26,55,34,27,63,31
Ecuador,35,29,30,32,52,25,27,38,43,68,53
Tajikistan,38,27,12,15,40,55,48,42,34,35,30
Myanmar,316,385,312,334,321,326,303,311,294,397,398
Oman,351,275,259,310,311,307,490,363,320,334,349
Greece,464,406,390,255,279,211,161,242,185,279,637
Mexico,329,233,315,349,308,299,279,252,274,350,406
Cambodia,188,369,198,283,284,286,275,319,427,347,386
Mongolia,728,251,233,143,163,608,342,133,192,136,305
Hungary,390,494,364,252,170,143,165,104,139,267,321
Bulgaria,509,534,340,206,135,142,107,73,131,238,369
Argentina,509,336,300,308,269,123,129,83,134,201,295
Sri Lanka,191,215,165,199,201,228,288,222,288,273,312
Slovakia,444,493,336,291,143,103,109,86,108,142,321
Lithuania,361,443,299,124,122,92,96,89,62,155,339
Northern Mariana Islands,136,136,190,135,131,314,364,151,143,210,193
Morocco,222,168,57,147,129,85,131,282,114,247,241
Chile,257,266,180,199,192,115,77,88,120,127,162
Colombia,186,126,128,183,136,123,153,115,150,222,242
Slovenia,205,408,282,142,73,58,72,63,98,171,143
Kazakhstan,264,218,177,181,96,127,131,65,101,163,186
Nigeria,139,143,118,115,108,128,125,122,129,156,111
Croatia,252,203,163,63,73,63,82,65,76,155,173
Maldives,155,120,107,93,126,91,152,224,78,98,88
Cyprus,122,124,154,133,116,97,137,136,60,86,160
