Country,January,February,March,April,May,June,July,August,September,October,November,December
Vietnam,"3,767","3,536","3,014","4,023","3,966","3,597","3,003","2,776","2,798","2,801","3,652","3,018"
Spain,"3,368","2,876","2,719","3,612","2,285","2,205","3,572","3,967","2,198","2,760","3,534","3,858"
Guam,"2,608","2,536","2,390","2,872","2,865","4,096","4,222","2,670","2,850","2,912","3,316","3,300"
Netherlands,"3,852","3,038","2,854","3,337","2,738","2,020","3,224","2,135","1,897","2,105","3,066","3,555"
Russian Federation,"4,990","4,522","3,979","2,709","1,766","1,399","1,380","1,256","1,438","2,554","3,198","4,088"
Italy,"3,454","3,150","2,897","2,887","1,931","1,710","2,363","2,695","1,520","1,744","2,357","3,729"
Switzerland,"3,329","3,244","2,791","3,547","2,098","1,392","2,375","1,448","1,497","2,141","2,382","3,593"
New Zealand,"2,705","1,843","2,057","2,813","2,240","2,105","2,649","1,880","2,106","2,196","2,482","3,907"
Sweden,"4,029","3,786","2,831","2,285","1,407","1,898","1,553",906,"1,076","1,416","2,202","4,314"
Norway,"2,109","1,930","1,635","1,956","1,210","2,676","2,800","1,094","1,066","1,342","1,503","2,569"
Denmark,"2,511","2,764","1,669","1,948","1,064","1,169","1,457",850,918,"1,069","1,284","1,742"
Ireland,"1,545","1,147","1,421","1,722","1,422","2,095","2,150","1,231","1,020","1,150","1,185","1,963"
Israel,"2,000","1,919","1,596","2,043","1,179",748,"1,006",966,"1,491","1,487","1,333","1,678"
United Arab Emirates,"1,077","1,130","1,733","1,503","1,383","1,367","1,602","1,457","1,223","1,224","1,274","1,426"
Belgium,"1,328","1,173","1,414","1,594","1,047","1,167","2,101","1,010",865,"1,020","1,248","1,736"
Austria,"1,647","1,631","1,309","1,222",803,755,"1,503",834,595,821,950,"1,454"
Commonwealth Of Independent States,"1,216",935,"1,157",843,692,731,757,756,802,830,"1,030","1,059"
Poland,"1,458","1,682","1,417","1,002",641,410,493,410,500,627,"1,168",978
Myanmar,659,620,836,848,783,757,852,906,818,819,990,683
Macau,760,705,702,911,948,640,813,669,680,799,728,756
Brunei,706,544,978,831,670,636,598,718,783,583,725,907
Turkey,974,798,975,573,600,565,646,732,559,559,759,668
Papua New Guinea,890,448,535,705,652,695,650,650,711,687,700,787
Kuwait,756,559,617,753,661,640,873,837,668,575,650,493
Finland,"1,014",922,662,637,472,531,242,240,312,391,616,919
South Africa,587,399,471,670,462,446,546,417,450,496,497,"1,030"
Brazil,719,592,568,650,619,341,357,389,339,371,482,687
Mexico,366,309,268,362,315,298,333,270,354,414,820,"1,635"
Sri Lanka,469,433,467,443,477,380,412,528,463,411,440,420
Nepal,296,247,608,798,778,308,346,410,227,227,498,585
Cambodia,223,374,294,501,347,305,358,411,447,494,574,384
Bangladesh,368,332,355,346,318,314,393,353,425,461,519,407
Pakistan,433,368,407,401,360,289,424,343,367,284,393,300
Qatar,393,346,346,391,341,380,346,369,319,305,316,343
Portugal,565,325,360,516,281,205,204,229,223,310,561,410
Bahrain,308,298,285,350,258,284,503,392,283,298,281,255
Greece,253,275,303,268,247,202,185,205,249,251,352,375
Argentina,533,380,367,353,291,178,79,118,115,211,242,290
Iran,182,131,433,210,208,246,178,196,209,176,249,180
Egypt,175,135,141,192,199,142,241,134,146,148,178,169
Colombia,182,104,153,145,119,114,131,121,132,157,146,243
Laos,48,107,77,168,106,119,131,155,211,180,199,79
Nigeria,155,124,97,94,111,96,170,198,160,134,128,91
Peru,80,55,67,73,73,38,43,45,50,53,72,359
Jordan,73,54,63,76,80,58,89,48,44,53,64,43
Luxembourg,51,64,70,86,47,24,71,67,41,67,63,71
Andorra,30,16,23,17,33,21,17,66,28,31,40,35
Venezuela,35,28,14,25,13,11,21,15,21,19,33,22
Nauru,1,2,2,-,1,,1,2,-,-,7,
