Country,January,February,March,April,May,June,July,August,September,October,November,December
South Korea,"154,367","150,685","135,813","117,074","128,691","108,455","132,135","141,869","123,834","139,218","125,583","150,097"
China,"85,948","78,251","76,155","74,893","73,649","66,066","90,763","95,687","79,463","89,932","79,307","78,333"
Usa,"99,435","80,463","78,199","87,614","83,056","84,676","86,017","61,415","56,827","67,567","74,704","97,840"
Japan,"51,516","53,957","60,778","44,872","44,696","38,261","47,377","64,114","46,553","38,733","44,952","48,371"
Australia,"27,826","20,157","18,824","26,447","19,560","18,178","19,985","16,016","19,858","19,592","21,269","31,721"
Taiwan,"21,926","20,472","22,498","21,318","22,429","18,374","20,451","19,993","17,112","21,241","16,052","14,911"
Canada,"24,352","19,016","17,470","19,755","16,794","10,856","15,159","11,057","10,686","13,080","17,344","25,071"
United Kingdom,"15,747","15,226","16,380","20,835","14,224","11,237","17,254","14,105","10,860","12,695","14,818","19,327"
Singapore,"12,000","13,309","15,086","13,895","15,895","15,022","12,535","13,726","13,974","13,597","14,752","14,846"
Malaysia,"10,215","11,335","12,861","12,839","13,328","11,633","10,632","12,336","11,541","12,435","12,852","11,559"
Hong Kong,"10,006","8,170","7,746","12,260","9,280","8,191","9,810","9,026","9,187","9,226","9,186","9,047"
India,"11,805","7,621","7,479","8,842","9,928","8,988","9,637","8,081","8,389","8,062","10,256","8,190"
Germany,"8,917","10,003","10,381","8,296","5,887","4,513","6,008","5,495","4,624","5,982","6,492","8,833"
France,"7,459","8,498","7,757","7,563","4,676","2,937","4,555","3,775","2,918","3,913","4,655","6,071"
Indonesia,"4,138","4,517","4,624","5,572","5,045","4,317","4,887","4,816","8,581","5,073","5,939","5,414"
Residences,"6,523","7,056","5,914","5,365","4,605","3,715","4,072","3,828","3,862","4,666","6,188","6,160"
Saudi Arabia,"5,020","4,051","4,341","4,820","3,096","3,228","8,227","7,155","4,658","3,933","4,120","2,067"
Thailand,"3,644","3,638","4,173","4,926","4,334","3,279","3,671","4,008","4,145","4,530","4,768","3,611"
