"year","country","total_visitors"
2025,French Polynesia,128
2025,Gabon,21
2025,Gambia,26
2025,Georgia,388
2025,Germany,59240
2025,Ghana,589
2025,Gibraltar,123
2025,Greece,2593
2025,Greenland,44
2025,Grenada,16
2025,Guadeloupe,10
2025,Guam,29233
2025,Guatemala,216
2025,Guernsey,143
2025,Guinea,80
2025,Guyana,39
2025,Haiti,46
2025,Honduras,129
2025,Hong Kong,57419
2025,Hungary,2221
2025,Iceland,1112
2025,India,66269
2025,Indonesia,34154
2025,Iran,670
2025,Iraq,110
2025,Ireland,13233
2025,Isle Of Man,346
2025,Israel,17861
2025,Italy,25310
2025,Jamaica,154
2025,Japan,344513
2025,Jersey,253
2025,Jordan,398
2025,Kazakhstan,1360
2025,Kenya,599
2025,Kiribati,67
2025,Kosovo,18
2025,Kuwait,5277
2025,Kyrgyzstan,291
2025,Laos,743
2025,Latvia,804
2025,Lebanon,361
2025,Lesotho,14
2025,Liberia,129
2025,Libya,78
2025,Liechtenstein,77
2025,Lithuania,1688
2025,Luxembourg,929
2025,Macau,3268
2025,Macedonia,115
2025,Madagascar,100
2025,Malawi,95
2025,Malaysia,71191
2025,Maldives,1146
2025,Mali,29
2025,Malta,966
2025,Marshall Islands,449
2025,Martinique,11
2025,Mauritania,14
2025,Mauritius,307
2025,Mayotte,2
2025,Mexico,2631
2025,Micronesia,877
2025,Moldova,151
2025,Monaco,122
2025,Mongolia,2793
2025,Montenegro,76
2025,Morocco,1334
2025,Mozambique,56
2025,Myanmar,2902
2025,Namibia,82
2025,Nauru,18
2025,Nepal,3226
2025,Netherlands,28239
2025,New Caledonia,134
2025,New Zealand,21363
2025,Nicaragua,60
2025,Niger,17
2025,Nigeria,1127
2025,Niue,3
2025,Norfolk Island,2
2025,North Korea,0
2025,Northern Mariana Islands,1700
2025,Norway,15450
2025,Oman,2986
2025,Pakistan,3310
2025,Palau,758
2025,Palestine State,28
2025,Panama,240
2025,Papua New Guinea,7249
2025,Paraguay,118
2025,Peru,696
2025,Poland,14226
2025,Portugal,3783
2025,Puerto Rico,179
2025,Qatar,8097
2025,Reunion,133
2025,Romania,4543
2025,Russian Federation,20023
2025,Rwanda,54
2025,Saint Barthelemy,7
2025,Saint Helena,1
2025,Saint Kitts And Nevis,62
2025,Saint Lucia,45
2025,Saint Martin French Part,11
2025,Saint Pierre And Miquelon,0
2025,Saint Vincent And The Grenadines,16
2025,Samoa,114
2025,San Marino,36
2025,Sao Tome And Principe,4
2025,Saudi Arabia,16300
2025,Senegal,77
2025,Serbia,917
2025,Seychelles,82
2025,Sierra Leone,15
2025,Singapore,115374
2025,Sint Maarten Dutch Part,24
2025,Slovakia,2113
2025,Slovenia,1401
2025,Solomon Islands,511
2025,Somalia,16
2025,South Africa,3532
2025,South Georgia And The South Sandwich Islands,0
2025,South Korea,955699
2025,Spain,35831
2025,Sri Lanka,1996
2025,Sudan,92
2025,Suriname,24
2025,Svalbard And Jan Mayen,2
2025,Sweden,12981
2025,Switzerland,19337
2025,Syria,132
2025,Taiwan,149959
2025,Tajikistan,311
2025,Tanzania,238
2025,Thailand,35310
2025,Timor,630
2025,Togo,29
2025,Tonga,68
2025,Trinidad And Tobago,163
2025,Tunisia,523
2025,Turkey,8999
2025,Turkmenistan,224
2025,Turks And Caicos,53
2025,Tuvalu,27
2025,Uganda,147
2025,Ukraine,772
2025,United Arab Emirates,27011
2025,United Kingdom,126301
2025,United States Minor Outlying Islands,12864
2025,Uruguay,939
2025,Usa,743998
2025,Uzbekistan,627
2025,Vanuatu,192
2025,Vatican City State,2
2025,Venezuela,132
2025,Vietnam,25644
2025,Virgin Islands Us,31
2025,Wallis And Futuna,1
2025,Yemen,43
2025,Zambia,133
2025,Zimbabwe,352
