"year","country","total_visitors"
2019,Iran,2290
2019,Ireland,21475
2019,Israel,22851
2019,Italy,38951
2019,Japan,682788
2019,Jordan,1931
2019,Korea,1989322
2019,Kuwait,6309
2019,Laos,1454
2019,Luxembourg,837
2019,Macau,8429
2019,Malaysia,139882
2019,Mexico,5154
2019,Myanmar,13978
2019,Nauru,93
2019,Nepal,6018
2019,Netherlands,41313
2019,New Zealand,37872
2019,Nigeria,3439
2019,Norway,23464
2019,Oman,2526
2019,Pakistan,5793
2019,Papua New Guinea,8828
2019,Peru,1660
2019,Poland,15816
2019,Portugal,8113
2019,Qatar,2491
2019,Residences,86799
2019,Russian Federation,36111
2019,Saudi Arabia,43748
2019,Singapore,158595
2019,South Africa,8553
2019,Spain,49748
2019,Sri Lanka,6412
2019,Sweden,27892
2019,Switzerland,29966
2019,Taiwan,327273
2019,Thailand,61292
2019,Turkey,8654
2019,United Arab Emirates,10192
2019,United Kingdom,209206
2019,Usa,1064440
2019,Venezuela,702
2019,Vietnam,66698
2020,Andorra,8
2020,Argentina,1432
2020,Australia,55330
2020,Austria,3875
2020,Bahrain,1094
2020,Bangladesh,1217
2020,Belgium,3756
2020,Brazil,2750
2020,Brunei,1037
2020,Cambodia,942
2020,Canada,55273
2020,China,170432
2020,Colombia,722
2020,Denmark,4848
2020,Egypt,1213
2020,Finland,2135
2020,France,24530
2020,Germany,25893
2020,Greece,1325
2020,Guam,2882
2020,Hong Kong,12444
2020,India,29014
2020,Indonesia,13734
2020,Iran,411
2020,Ireland,3621
2020,Israel,4745
2020,Italy,8976
2020,Japan,136664
2020,Jordan,397
2020,Korea,338877
2020,Kuwait,1171
2020,Laos,203
2020,Luxembourg,156
2020,Macau,789
2020,Malaysia,23359
2020,Mexico,983
2020,Myanmar,2877
2020,Nauru,5
2020,Nepal,940
2020,Netherlands,8961
2020,New Zealand,6883
2020,Nigeria,1042
2020,Norway,4365
2020,Oman,700
2020,Pakistan,1340
2020,Papua New Guinea,1434
2020,Peru,350
2020,Poland,5429
2020,Portugal,2072
2020,Qatar,987
2020,Residences,25590
2020,Russian Federation,12643
2020,Saudi Arabia,7014
2020,Singapore,19998
2020,South Africa,2159
2020,Spain,9621
2020,Sri Lanka,1117
2020,Sweden,6996
2020,Switzerland,7094
2020,Taiwan,48644
2020,Thailand,9788
2020,Turkey,3619
2020,United Arab Emirates,2518
2020,United Kingdom,39980
2020,Usa,211816
2020,Venezuela,185
2020,Vietnam,11406
2021,Andorra,1
2021,Argentina,204
2021,Australia,2184
2021,Austria,381
2021,Bahrain,1864
2021,Bangladesh,323
2021,Belgium,648
2021,Brazil,612
2021,Brunei,37
2021,Cambodia,40
2021,Canada,6781
2021,China,9674
2021,Colombia,184
2021,Denmark,353
2021,Egypt,1076
2021,Finland,212
2021,France,1425
2021,Germany,2037
2021,Greece,500
2021,Guam,644
2021,Hong Kong,354
2021,India,7202
2021,Indonesia,1888
2021,Iran,172
2021,Ireland,600
2021,Israel,452
2021,Italy,1212
2021,Japan,15024
2021,Jordan,209
2021,Korea,6456
2021,Kuwait,662
2021,Laos,15
2021,Luxembourg,27
2021,Macau,27
2021,Malaysia,1620
2021,Mexico,243
2021,Myanmar,271
2021,Nauru,0
2021,Nepal,178
2021,Netherlands,1510
2021,New Zealand,345
2021,Nigeria,300
2021,Norway,508
2021,Oman,905
2021,Pakistan,584
2021,Papua New Guinea,381
2021,Peru,59
2021,Poland,520
2021,Portugal,339
2021,Qatar,1308
2021,Residences,8568
2021,Russian Federation,1027
2021,Saudi Arabia,2252
2021,Singapore,653
2021,South Africa,826
2021,Spain,1220
2021,Sri Lanka,301
2021,Sweden,508
2021,Switzerland,598
2021,Taiwan,1619
2021,Thailand,1464
2021,Turkey,4374
2021,United Arab Emirates,2733
2021,United Kingdom,4348
2021,Usa,39326
2021,Venezuela,75
2021,Vietnam,1785
2022,Afghanistan,98
2022,Albania,147
2022,Algeria,269
2022,American Samoa,189
2022,Andorra,117
2022,Angola,116
2022,Anguilla,25
2022,Antarctica,1
2022,Argentina,943
2022,Armenia,303
2022,Aruba,4
2022,Australia,137974
2022,Austria,8016
2022,Azerbaijan,51
2022,Bahamas,55
2022,Bahrain,1494
2022,Bangladesh,2386
2022,Barbados,33
2022,Belarus,199
2022,Belgium,8961
2022,Belize,36
2022,Benin,38
2022,Bermuda,78
2022,Bhutan,105
2022,Bolivia,115
2022,Bosnia,107
2022,Botswana,47
2022,Brazil,3010
2022,British Virgin Islands,39
2022,Brunei,1884
2022,Bulgaria,999
2022,Burkina Faso,20
2022,Burundi,36
2022,Cabo Verde,38
2022,Cambodia,1454
2022,Cameroon,543
