Country,January,February,March,April,May,June,July,August,September,October,November,December
Total,"718,118","762,437","709,399","653,336","612,861","638,440","712,285","699,933","604,552","634,786","679,273","763,057"
Overseas Filipinos,"5,272","4,428","4,910","9,651","8,858","5,340","6,772","2,910","2,001","3,763","4,790","13,741"
