Country,January,February,March,April,May,June,July,August,September,October,November,December
Total,"6,109","9,005","10,446","5,098","9,153","10,281","11,794","13,132","13,891","15,656","18,836","22,697"
Overseas Filipinos,369,"1,939","1,515",938,"1,750","1,574","1,050","1,702","1,621","1,973","1,694","1,656"
