Country,January,February,March,April,May,June,July,August,September,October,November,December
Grand Total,"574,439","582,332","505,720","459,453","447,435","459,362","525,466","472,482","411,274","441,059","471,835","598,493"
Overseas Filipinos,"32,373","31,115","30,777","29,937","45,099","50,725","57,450","43,945","34,271","38,042","38,705","77,944"
Foreign Tourists,"542,066","551,217","474,943","429,516","402,336","408,637","468,016","428,537","377,003","403,017","433,130","520,549"
