Country,January,February,March,April,May,June,July,August,September,October,November,December
Total,"724,586","669,640","635,485","583,996","531,175","524,765","602,112","546,785","514,174","518,920","559,468","685,488"
Overseas Filipinos,"7,920","5,201","7,272","7,141","6,568","5,502","6,966","4,303","3,867","4,783","4,701","7,649"
