Country,January,February,March,April,May,June,July,August,September,October,November,December
Total,"462,886","443,996","431,210","403,554","396,131","374,761","467,592","465,936","383,156","397,267","399,475","522,855"
Overseas Filipinos,"16,263","12,528","24,953","19,812","17,806","15,725","22,132","14,753","10,433","14,918","12,393","30,147"
