Country,January,February,March,April,May,June,July,August,September,October,November,December
Total,"620,121","569,361","556,906","551,497","520,780","462,729","551,638","535,076","472,766","513,638","522,723","603,062"
Overseas Filipinos,"11,518","9,817","17,159","13,601","11,977","12,125","16,397","10,178","7,037","9,989","10,503","10,310"
