Country,January,February,March,April,May,June,July,August,September,October,November,December
Total,"525,832","537,194","485,892","452,396","427,934","444,043","541,298","490,190","414,202","432,157","472,258","553,186"
Overseas Filipinos,"16,426","12,531","24,378","19,202","17,515","15,095","19,574","12,549","8,741","10,868","10,092","23,452"
