Country,January,February,March,April,May,June,July,August,September,October,November,December
Total,"782,132","439,852","127,721",927,357,"1,186","3,380","5,364","6,410","8,304","9,069","13,753"
Overseas Filipinos,"14,032","22,829","11,604",21,"4,138",336,"2,138","12,966","3,637","1,804","4,535","6,040"
