Country,January,February,March,April,May,June,July,August,September,October,November,December
Grand Total,"464,168","466,032","475,643","458,083","389,288","448,867","516,304","437,648","382,346","406,901","439,926","565,351"
 Overseas Filipinos,"38,980","34,337","39,351","40,763","36,195","41,657","48,385","33,619","26,046","28,778","28,036","50,935"
Foreign Tourists,"425,188","431,695","436,292","417,320","353,093","407,210","467,919","404,029","356,300","378,123","411,890","514,416"
