Country,January,February,March,April,May,June,July,August,September,October,November
Total,"627,459","541,008","487,471","450,493","443,247","449,811","508,726","457,438","368,922","432,938","467,942"
Overseas Filipinos,"48,678","35,830","39,254","47,055","46,810","49,659","53,702","40,470","30,861","36,086","37,179"
Foreign Tourist,"578,781","505,178","448,217","403,438","396,437","400,152","455,024","416,968","338,061","396,852","430,763"
