,Country,February,March,April,May,June,July,August,September,October,November,December,Total,Percentage
65,Lithuania,16,48,52,58,52,57,57,78,115,240,178,951.0,0.04%
66,Argentina,11,43,58,67,54,59,91,98,140,185,137,943.0,0.04%
67,Tunisia,11,32,19,38,55,116,107,132,120,155,150,935.0,0.04%
68,Slovakia,13,43,74,57,41,59,66,78,87,170,180,868.0,0.03%
69,Croatia,13,40,64,47,42,80,78,96,95,158,129,842.0,0.03%
70,Ukraine,6,-,36,43,47,97,115,117,96,185,94,836.0,0.03%
71,Palau,29,11,36,56,51,111,79,67,88,188,110,826.0,0.03%
72,Iran,14,-,26,43,77,69,163,111,100,94,108,805.0,0.03%
73,Lebanon,18,-,22,41,54,102,120,98,100,147,101,803.0,0.03%
74,Chile,5,17,36,61,56,71,66,90,99,149,88,738.0,0.03%
75,Kazakhstan,4,16,39,25,27,73,62,66,81,149,173,715.0,0.03%
76,Maldives,2,50,24,47,56,130,89,69,57,84,66,674.0,0.03%
77,Qatar,-,50,20,76,69,117,56,66,51,57,99,661.0,0.02%
78,Jordan,1,-,19,37,62,86,91,77,80,82,72,607.0,0.02%
79,Cyprus,-,25,55,36,64,71,78,44,51,82,87,593.0,0.02%
80,Kenya,-,17,24,25,46,94,85,77,69,74,49,560.0,0.02%
81,Cameroon,-,26,52,46,52,58,84,73,56,65,31,543.0,0.02%
82,Micronesia,8,12,13,20,12,44,43,51,73,179,62,517.0,0.02%
83,Peru,18,16,34,36,44,42,51,51,64,62,94,512.0,0.02%
84,Slovenia,-,34,47,34,43,63,48,31,55,84,68,507.0,0.02%
85,Serbia,3,-,6,29,31,67,71,81,65,90,59,502.0,0.02%
86,Uzbekistan,3,3,12,18,12,34,57,83,50,83,140,495.0,0.02%
87,Laos,-,7,7,17,19,96,41,66,75,104,52,484.0,0.02%
88,North Korea,33,-,13,9,26,42,46,29,36,88,146,468.0,0.02%
89,Syria,-,-,9,15,35,68,78,83,49,78,30,445.0,0.02%
90,Latvia,5,39,22,20,19,27,29,37,52,91,92,433.0,0.02%
91,Fiji,-,9,28,29,39,54,38,61,53,66,51,428.0,0.02%
92,Estonia,-,29,22,24,15,24,20,18,51,77,137,417.0,0.02%
93,Scotland,12,-,29,40,46,46,46,67,58,65,6,415.0,0.02%
94,Timor-Leste,-,-,42,33,54,75,58,27,37,26,22,374.0,0.01%
95,Ghana,-,6,17,25,16,48,55,52,53,60,36,368.0,0.01%
96,Malta,-,10,24,20,22,44,39,41,38,35,94,367.0,0.01%
97,Yemen,-,-,5,20,36,51,66,64,47,49,28,366.0,0.01%
98,Luxembourg,8,21,23,13,16,42,53,29,28,42,58,333.0,0.01%
99,Armenia,2,-,19,10,8,30,29,18,32,31,124,303.0,0.01%
100,Costa Rica,-,5,15,18,23,25,19,39,49,75,34,302.0,0.01%
101,Algeria,1,-,13,9,18,35,44,42,41,57,9,269.0,0.01%
102,Sudan,1,-,1,7,13,30,59,51,41,35,19,257.0,0.01%
103,Mauritius,11,-,12,11,15,30,18,40,34,46,36,253.0,0.01%
104,Venezuela,3,9,25,22,19,20,21,32,26,42,26,245.0,0.01%
105,Kyrgyzstan,1,8,21,8,9,28,23,19,37,44,39,237.0,0.01%
106,Ethiopia,-,4,8,6,12,25,54,40,23,35,25,232.0,0.01%
107,Puerto Rico,1,-,22,25,28,16,26,34,25,42,10,229.0,0.01%
108,Tanzania,-,10,9,10,16,28,33,28,32,34,25,225.0,0.01%
109,Marshall Islands,12,5,35,14,6,7,4,13,29,57,41,223.0,0.01%
110,Ecuador,-,3,16,13,16,32,25,33,24,28,32,222.0,0.01%
111,Uganda,1,7,16,10,11,25,32,35,33,24,26,220.0,0.01%
112,Zimbabwe,-,9,8,10,13,22,25,40,27,36,25,215.0,0.01%
113,Uruguay,-,4,7,2,13,8,8,14,38,85,34,213.0,0.01%
114,Macau,-,-,9,19,22,22,25,27,22,24,39,209.0,0.01%
115,Jamaica,1,12,9,18,9,22,29,26,22,32,28,208.0,0.01%
116,Vanuatu,1,5,10,16,15,19,25,24,24,26,43,208.0,0.01%
117,Belarus,-,-,5,5,9,19,22,33,25,49,32,199.0,0.01%
118,Saint Kitts and Nevis,-,8,11,16,14,26,22,21,23,20,31,192.0,0.01%
119,American Samoa,23,-,-,-,-,-,-,-,-,-,166,189.0,0.01%
120,Chad,9,5,11,7,15,21,23,18,29,22,13,173.0,0.01%
121,Palestine,5,-,8,12,15,5,24,30,27,20,20,166.0,0.01%
122,Panama,3,3,17,19,19,5,21,17,17,21,18,160.0,0.01%
123,Dominican Republic,-,5,17,10,10,16,19,13,23,22,25,160.0,0.01%
124,El Salvador,-,-,12,8,13,13,18,22,28,30,15,159.0,0.01%
125,Guatemala,-,4,10,6,17,18,14,20,24,16,28,157.0,0.01%
126,Namibia,-,16,17,17,23,15,21,8,14,9,16,156.0,0.01%
127,Iraq,-,-,6,14,18,16,26,22,14,19,20,155.0,0.01%
128,Trinidad and Tobago,-,9,9,7,5,18,18,22,13,25,22,148.0,0.01%
129,Albania,-,-,3,7,5,15,12,26,28,22,29,147.0,0.01%
130,Eritrea,1,9,5,5,6,13,39,22,12,14,6,132.0,0.00%
131,Madagascar,-,4,3,14,19,9,18,20,13,10,9,119.0,0.00%
132,Congo Democratic Republic of,-,12,9,10,13,5,29,14,16,10,-,118.0,0.00%
133,Andorra,-,6,11,16,20,20,7,9,12,8,8,117.0,0.00%
134,Angola,3,3,5,7,11,13,15,23,13,11,12,116.0,0.00%
135,Cote d'Ivoire Ivory Coast,1,10,10,10,7,9,14,10,24,9,12,116.0,0.00%
136,Bolivia,-,5,7,4,1,9,19,18,13,21,18,115.0,0.00%
137,Mali,-,5,6,7,16,24,35,6,6,4,2,111.0,0.00%
138,Honduras,5,4,9,2,7,15,12,15,12,21,7,109.0,0.00%
139,Bosnia,2,-,3,3,6,14,20,16,13,22,8,107.0,0.00%
140,Bhutan,20,-,1,-,9,3,16,8,19,13,16,105.0,0.00%
