Country,Total,Percentage,Previous Total,Growth Rate
South Korea,1607821.0,24.28,1475081.0,9.0
China,968447.0,14.63,675663.0,43.33
Usa,957813.0,14.47,869463.0,10.16
Japan,584180.0,8.82,535238.0,9.14
Australia,259433.0,3.92,251098.0,3.32
Taiwan,236777.0,3.58,229303.0,3.26
Canada,200640.0,3.03,175631.0,14.24
United Kingdom,182708.0,2.76,173299.0,5.43
Singapore,168637.0,2.55,176057.0,-4.21
Malaysia,143566.0,2.17,139133.0,3.19
Hong Kong,111135.0,1.68,116328.0,-4.46
India,107278.0,1.62,90816.0,18.13
Germany,85431.0,1.29,86363.0,-1.08
France,64777.0,0.98,55384.0,16.96
Indonesia,62923.0,0.95,44348.0,41.88
Residences,61954.0,0.94,57226.0,8.26
Saudi Arabia,54716.0,0.83,56081.0,-2.43
Thailand,48727.0,0.74,47913.0,1.7
Vietnam,39951.0,0.6,33895.0,17.87
Spain,36954.0,0.56,32097.0,15.13
Guam,36637.0,0.55,38777.0,-5.52
Netherlands,33821.0,0.51,31876.0,6.1
Russian Federation,33279.0,0.5,28210.0,17.97
Italy,30437.0,0.46,25945.0,17.31
Switzerland,29837.0,0.45,29420.0,1.42
New Zealand,28983.0,0.44,23431.0,23.7
Sweden,27703.0,0.42,26062.0,6.3
Norway,21890.0,0.33,21606.0,1.31
Denmark,18445.0,0.28,18049.0,2.19
Ireland,18051.0,0.27,16557.0,9.02
Israel,17446.0,0.26,16725.0,4.31
United Arab Emirates,16399.0,0.25,17634.0,-7.0
Belgium,15703.0,0.24,14477.0,8.47
Austria,13524.0,0.2,13087.0,3.34
Commonwealth of Independent States,10808.0,0.16,10342.0,4.51
Poland,10786.0,0.16,8893.0,21.29
Myanmar,9571.0,0.14,7442.0,28.61
Macau,9111.0,0.14,9247.0,-1.47
Brunei,8679.0,0.13,8211.0,5.7
Turkey,8408.0,0.13,7884.0,6.65
Papua New Guinea,8110.0,0.12,7738.0,4.81
Kuwait,8082.0,0.12,6649.0,21.55
Finland,6958.0,0.11,6318.0,10.13
South Africa,6471.0,0.1,5117.0,26.46
Brazil,6114.0,0.09,4520.0,35.27
Mexico,5744.0,0.09,2924.0,96.44
Sri Lanka,5343.0,0.08,5410.0,-1.24
Nepal,5328.0,0.08,3449.0,54.48
Cambodia,4712.0,0.07,3526.0,33.64
Bangladesh,4591.0,0.07,4516.0,1.66
Pakistan,4369.0,0.07,4256.0,2.66
Qatar,4195.0,0.06,4745.0,-11.59
Portugal,4189.0,0.06,2999.0,39.68
Bahrain,3795.0,0.06,3689.0,2.87
Greece,3165.0,0.05,2483.0,27.47
Argentina,3157.0,0.05,2369.0,33.26
Iran,2598.0,0.04,2720.0,-4.49
Egypt,2000.0,0.03,1985.0,0.76
Colombia,1747.0,0.03,1431.0,22.08
Laos,1580.0,0.02,1173.0,34.7
Nigeria,1558.0,0.02,1489.0,4.63
Peru,1008.0,0.02,581.0,73.49
Jordan,745.0,0.01,718.0,3.76
Luxembourg,722.0,0.01,833.0,-13.33
Andorra,357.0,0.01,364.0,-1.92
Venezuela,257.0,0.0,271.0,-5.17
Nauru,16.0,0.0,17.0,-5.88
