Country,Total,Percentage,Previous Total,Growth Rate
South Korea,1475081.0,24.72,1339678.0,10.11
Usa,869463.0,14.57,779217.0,11.58
China,675663.0,11.32,490841.0,37.65
Japan,535238.0,8.97,495662.0,7.98
Australia,251098.0,4.21,241187.0,4.11
Taiwan,229303.0,3.84,177670.0,29.06
Singapore,176057.0,2.95,181176.0,-2.83
Canada,175631.0,2.94,156363.0,12.32
United Kingdom,173299.0,2.9,154589.0,12.1
Malaysia,139133.0,2.33,155814.0,-10.71
Hong Kong,116328.0,1.95,122180.0,-4.79
India,90816.0,1.52,74824.0,21.37
Germany,86363.0,1.45,75348.0,14.62
Residences,57226.0,0.96,49074.0,16.61
Saudi Arabia,56081.0,0.94,50884.0,10.21
France,55384.0,0.93,45505.0,21.71
Thailand,47913.0,0.8,44038.0,8.8
Indonesia,44348.0,0.74,48178.0,-7.95
Guam,38777.0,0.65,35262.0,9.97
Vietnam,33895.0,0.57,31579.0,7.33
Spain,32097.0,0.54,24144.0,32.94
Netherlands,31876.0,0.53,28632.0,11.33
Switzerland,29420.0,0.49,27200.0,8.16
Russian Federation,28210.0,0.47,25278.0,11.6
Sweden,26062.0,0.44,23206.0,12.31
Italy,25945.0,0.43,21620.0,20.0
New Zealand,23431.0,0.39,20579.0,13.86
Norway,21606.0,0.36,20968.0,3.04
Denmark,18049.0,0.3,15269.0,18.21
United Arab Emirates,17634.0,0.3,16881.0,4.46
Israel,16725.0,0.28,11756.0,42.27
Ireland,16557.0,0.28,14050.0,17.84
Belgium,14477.0,0.24,12825.0,12.88
Austria,13087.0,0.22,12267.0,6.68
Commonwealth of Independent States,10342.0,0.17,10100.0,2.4
Macau,9247.0,0.15,10160.0,-8.99
Poland,8893.0,0.15,8030.0,10.75
Brunei,8211.0,0.14,9015.0,-8.92
Turkey,7884.0,0.13,6026.0,30.83
Papua New Guinea,7738.0,0.13,5910.0,30.93
Myanmar,7442.0,0.12,7033.0,5.82
Kuwait,6649.0,0.11,5440.0,22.22
Finland,6318.0,0.11,6548.0,-3.51
Sri Lanka,5410.0,0.09,5292.0,2.23
South Africa,5117.0,0.09,4570.0,11.97
Qatar,4745.0,0.08,4472.0,6.1
Brazil,4520.0,0.08,3495.0,29.33
Bangladesh,4516.0,0.08,4664.0,-3.17
Pakistan,4256.0,0.07,4346.0,-2.07
Bahrain,3689.0,0.06,3562.0,3.57
Cambodia,3526.0,0.06,3503.0,0.66
Nepal,3449.0,0.06,2908.0,18.6
Portugal,2999.0,0.05,2206.0,35.95
Mexico,2924.0,0.05,3145.0,-7.03
Iran,2720.0,0.05,2505.0,8.58
Greece,2483.0,0.04,2386.0,4.07
Argentina,2369.0,0.04,1745.0,35.76
Egypt,1985.0,0.03,1630.0,21.78
Nigeria,1489.0,0.02,1430.0,4.13
Colombia,1431.0,0.02,1228.0,16.53
Laos,1173.0,0.02,1231.0,-4.71
Luxembourg,833.0,0.01,687.0,21.25
Jordan,718.0,0.01,677.0,6.06
Peru,581.0,0.01,561.0,3.57
Andorra,364.0,0.01,329.0,10.64
Venezuela,271.0,0.0,221.0,22.62
Nauru,17.0,0.0,20.0,-15.0
