Country,Total,Percentage,Previous Total,Growth Rate
South Korea,1450858.0,26.62,428014.0,238.97
Usa,903299.0,16.57,505089.0,78.84
Japan,305580.0,5.61,99557.0,206.94
Australia,266551.0,4.89,137974.0,93.19
China,263836.0,4.84,39627.0,565.8
Canada,221920.0,4.07,121413.0,82.78
Taiwan,194851.0,3.57,23604.0,725.5
United Kingdom,154698.0,2.84,101034.0,53.11
Singapore,149230.0,2.74,53448.0,179.21
Malaysia,97639.0,1.79,46805.0,108.61
Hong Kong,80512.0,1.48,8589.0,837.39
Germany,74731.0,1.37,39013.0,91.55
India,70286.0,1.29,51542.0,36.37
Vietnam,67661.0,1.24,38605.0,75.26
Indonesia,53707.0,0.99,24596.0,118.36
France,51601.0,0.95,23949.0,115.46
Thailand,40952.0,0.75,16300.0,151.24
Guam,35501.0,0.65,2875.0,1134.82
Spain,34063.0,0.62,19194.0,77.47
United Arab Emirates,33769.0,0.62,2084.0,1520.39
Netherlands,31956.0,0.59,19306.0,65.52
New Zealand,29272.0,0.54,17503.0,67.24
Switzerland,24048.0,0.44,11092.0,116.8
Russian Federation,23104.0,0.42,8040.0,187.36
Italy,22496.0,0.41,12933.0,73.94
Norway,20000.0,0.37,12004.0,66.61
Saudi Arabia,19311.0,0.35,10414.0,85.43
Sweden,16789.0,0.31,9389.0,78.82
Ireland,16379.0,0.3,12009.0,36.39
Belgium,14459.0,0.27,8961.0,61.35
Israel,13334.0,0.24,9711.0,37.31
Austria,13180.0,0.24,8016.0,64.42
Denmark,12294.0,0.23,7362.0,66.99
Qatar,10438.0,0.19,661.0,1479.12
Turkey,10026.0,0.18,5859.0,71.12
Poland,9923.0,0.18,4222.0,135.03
Kuwait,6915.0,0.13,2108.0,228.04
Brunei,6639.0,0.12,1884.0,252.39
Myanmar,6395.0,0.12,4255.0,50.29
Papua New Guinea,6243.0,0.11,1557.0,300.96
Bahrain,5886.0,0.11,1494.0,293.98
Czech Republic,5812.0,0.11,2007.0,189.59
Mongolia,4665.0,0.09,1997.0,133.6
Macau,4593.0,0.08,209.0,2097.61
Finland,4533.0,0.08,2681.0,69.08
South Africa,4525.0,0.08,3307.0,36.83
Brazil,4275.0,0.08,3010.0,42.03
Bangladesh,4191.0,0.08,2386.0,75.65
Portugal,4171.0,0.08,2495.0,67.17
Romania,4171.0,0.08,2656.0,57.04
Cambodia,3999.0,0.07,1454.0,175.03
Nepal,3646.0,0.07,2016.0,80.85
Nigeria,3301.0,0.06,1999.0,65.13
Pakistan,3109.0,0.06,2306.0,34.82
Greece,3095.0,0.06,1720.0,79.94
Mexico,2833.0,0.05,1843.0,53.72
Sri Lanka,2779.0,0.05,1801.0,54.3
Oman,2695.0,0.05,1103.0,144.33
Northern Mariana Islands,2588.0,0.05,44.0,5781.82
Hungary,2319.0,0.04,1292.0,79.49
United States Minor Outlying Islands,2291.0,0.04,0.0,229100.0
Slovakia,2177.0,0.04,868.0,150.81
Bulgaria,2152.0,0.04,999.0,115.42
Lithuania,1868.0,0.03,951.0,96.42
Colombia,1843.0,0.03,1346.0,36.92
Argentina,1809.0,0.03,943.0,91.83
Morocco,1779.0,0.03,1458.0,22.02
Morocco,1779.0,0.03,1.0,177800.0
Uruguay,1725.0,0.03,213.0,709.86
Chile,1547.0,0.03,738.0,109.62
Kazakhstan,1415.0,0.03,715.0,97.9
Egypt,1354.0,0.02,1715.0,-21.05
Palau,1346.0,0.02,826.0,62.95
Croatia,1334.0,0.02,842.0,58.43
Cyprus,1332.0,0.02,593.0,124.62
Slovenia,1318.0,0.02,507.0,159.96
Iceland,1267.0,0.02,988.0,28.24
Maldives,1252.0,0.02,674.0,85.76
Latvia,1250.0,0.02,433.0,188.68
Estonia,1243.0,0.02,417.0,198.08
Malta,1178.0,0.02,367.0,220.98
Iran,1172.0,0.02,805.0,45.59
Serbia,1101.0,0.02,502.0,119.32
Laos,988.0,0.02,484.0,104.13
Kenya,963.0,0.02,560.0,71.96
Luxembourg,962.0,0.02,333.0,188.89
Micronesia,914.0,0.02,517.0,76.79
Tunisia,882.0,0.02,935.0,-5.67
Ukraine,854.0,0.02,836.0,2.15
Fiji,737.0,0.01,428.0,72.2
Peru,737.0,0.01,512.0,43.95
Uzbekistan,701.0,0.01,495.0,41.62
Ghana,603.0,0.01,368.0,63.86
Lebanon,603.0,0.01,803.0,-24.91
Solomon Islands,29.0,539.0,102.0,-71.57
Costa Rica,38.0,484.0,302.0,-87.42
Timor,33.0,479.0,0.0,3300.0
Ecuador,21.0,374.0,222.0,-90.54
Armenia,23.0,360.0,303.0,-92.41
Mauritius,43.0,350.0,253.0,-83.0
Georgia,20.0,349.0,94.0,-78.72
Puerto Rico,40.0,347.0,229.0,-82.53
Jersey,32.0,341.0,0.0,3200.0
Uganda,31.0,339.0,220.0,-85.91
Belarus,53.0,337.0,199.0,-73.37
Kyrgyzstan,33.0,337.0,237.0,-86.08
American Samoa,25.0,320.0,189.0,-86.77
Zimbabwe,47.0,314.0,215.0,-78.14
Panama,22.0,303.0,160.0,-86.25
Ethiopia,30.0,297.0,232.0,-87.07
Tanzania,25.0,282.0,225.0,-88.89
Bhutan,21.0,272.0,105.0,-80.0
Tajikistan,28.0,271.0,97.0,-71.13
Vanuatu,15.0,269.0,208.0,-92.79
Congo Democratic Republic Of,10.0,255.0,0.0,1000.0
Angola,26.0,238.0,116.0,-77.59
Iraq,17.0,230.0,155.0,-89.03
Cote Divoire Ivory Coast,12.0,228.0,0.0,1200.0
New Caledonia,33.0,215.0,0.0,3300.0
Albania,23.0,214.0,147.0,-84.35
Guatemala,14.0,214.0,157.0,-91.08
Jamaica,18.0,212.0,208.0,-91.35
Cayman Islands,13.0,209.0,51.0,-74.51
British Indian Ocean Territory,20.0,205.0,0.0,2000.0
Bermuda,29.0,203.0,78.0,-62.82
Dominican Republic,9.0,196.0,160.0,-94.38
Dominican Republic,9.0,196.0,35.0,-74.29
Andorra,5.0,188.0,117.0,-95.73
El Salvador,5.0,184.0,159.0,-96.86
Syria,10.0,182.0,445.0,-97.75
Afghanistan,11.0,181.0,98.0,-88.78
Sudan,7.0,175.0,257.0,-97.28
Guernsey,18.0,169.0,0.0,1800.0
Zambia,24.0,169.0,84.0,-71.43
Honduras,7.0,165.0,109.0,-93.58
Moldova,23.0,162.0,69.0,-66.67
Trinidad And Tobago,7.0,160.0,0.0,700.0
Bolivia,13.0,157.0,115.0,-88.7
Reunion,145.0,0.0,4.0,3525.0
Namibia,139.0,0.0,156.0,-10.9
Monaco,136.0,0.0,14.0,871.43
Bosnia And Herzegovina,135.0,0.0,0.0,13500.0
Rwanda,134.0,0.0,71.0,88.73
Liberia,133.0,0.0,88.0,51.14
Paraguay,130.0,0.0,53.0,145.28
Tonga,122.0,0.0,73.0,67.12
Senegal,121.0,0.0,64.0,89.06
Liechtenstein,120.0,0.0,49.0,144.9
Samoa,120.0,0.0,75.0,60.0
Turkmenistan,116.0,0.0,81.0,43.21
French Polynesia,114.0,0.0,2.0,5600.0
Bahamas,112.0,0.0,55.0,103.64
Mozambique,109.0,0.0,58.0,87.93
Eswatini,107.0,0.0,25.0,328.0
Aruba,103.0,0.0,4.0,2475.0
Malawi,103.0,0.0,45.0,128.89
Saint Kitts And Nevis,95.0,0.0,0.0,9500.0
Macedonia,91.0,0.0,86.0,5.81
Seychelles,91.0,0.0,55.0,65.45
Libya,89.0,0.0,51.0,74.51
Nicaragua,89.0,0.0,71.0,25.35
Botswana,83.0,0.0,40.0,107.5
Botswana,83.0,0.0,7.0,1085.71
Aland Islands,80.0,0.0,0.0,8000.0
Algeria,79.0,0.0,269.0,-70.63
Azerbaijan,76.0,0.0,51.0,49.02
Montenegro,76.0,0.0,37.0,105.41
Kiribati,71.0,0.0,29.0,144.83
Burkina Faso,66.0,0.0,20.0,230.0
Palestine State,59.0,0.0,0.0,5900.0
Virgin Islands Us,56.0,0.0,13.0,330.77
Guinea,55.0,0.0,52.0,5.77
Congo Republic Of Cap Brazzaville,54.0,0.0,65.0,-16.92
Yemen,51.0,0.0,366.0,-86.07
Togo,50.0,0.0,29.0,72.41
Belize,49.0,0.0,36.0,36.11
Cook Islands,48.0,0.0,9.0,433.33
Burundi,44.0,0.0,36.0,22.22
Gambia,44.0,0.0,36.0,22.22
Grenada,44.0,0.0,47.0,-6.38
Greenland,42.0,0.0,1.0,4100.0
Suriname,42.0,0.0,25.0,68.0
Benin,39.0,0.0,38.0,2.63
Sint Maarten Dutch Part,38.0,0.0,0.0,3800.0
Saint Lucia,37.0,0.0,33.0,12.12
Central African Republic,34.0,0.0,7.0,385.71
Tuvalu,34.0,0.0,17.0,100.0
Chad,33.0,0.0,173.0,-80.92
Curacao,33.0,0.0,0.0,3300.0
Turks And Caicos,33.0,0.0,0.0,3300.0
British Virgin Islands,32.0,0.0,39.0,-17.95
Antigua And Barbuda,31.0,0.0,0.0,3100.0
Barbados,31.0,0.0,33.0,-6.06
Martinique,31.0,0.0,2.0,1450.0
Guadeloupe,30.0,0.0,0.0,3000.0
Haiti,30.0,0.0,65.0,-53.85
San Marino,30.0,0.0,15.0,100.0
Falkland Islands Malvinas,28.0,0.0,0.0,2800.0
Guyana,28.0,0.0,40.0,-30.0
French Guiana,27.0,0.0,0.0,2700.0
Mali,27.0,0.0,111.0,-75.68
Gabon,25.0,0.0,23.0,8.7
Saint Vincent And The Grenadines,25.0,0.0,0.0,2500.0
Sierra Leone,23.0,0.0,42.0,-45.24
Bonaire Sint Eustatius And Saba,22.0,0.0,0.0,2200.0
Dominica,22.0,0.0,0.0,2200.0
Equatorial Guinea,20.0,0.0,25.0,-20.0
Cabo Verde,14.0,0.0,38.0,-63.16
Niger,14.0,0.0,57.0,-75.44
Nauru,13.0,0.0,12.0,8.33
Somalia,13.0,0.0,60.0,-78.33
Comoros,12.0,0.0,32.0,-62.5
French Southern Territories,12.0,0.0,0.0,1200.0
Lesotho,11.0,0.0,8.0,37.5
Anguilla,10.0,0.0,25.0,-60.0
Djibouti,10.0,0.0,19.0,-47.37
Antarctica,9.0,0.0,1.0,800.0
Cuba,9.0,0.0,33.0,-72.73
Mauritania,9.0,0.0,24.0,-62.5
Norfolk Island,9.0,0.0,0.0,900.0
Sao Tome And Principe,9.0,0.0,0.0,900.0
Eritrea,8.0,0.0,132.0,-93.94
Guinea,8.0,0.0,52.0,-84.62
Saint Martin French Part,8.0,0.0,0.0,800.0
Cocos Keeling Islands,6.0,0.0,0.0,600.0
Niue,6.0,0.0,6.0,0.0
Christmas Island,5.0,0.0,0.0,500.0
Saint Helena,4.0,0.0,7.0,-42.86
Saint Helena,4.0,0.0,4.0,0.0
North Korea,3.0,0.0,468.0,-99.36
Montserrat,2.0,0.0,0.0,200.0
South Georgia And The South Sandwich Islands,2.0,0.0,0.0,200.0
Vatican City State,2.0,0.0,27.0,-92.59
Macedonia,1.0,0.0,86.0,-98.84
Mayotte,1.0,0.0,0.0,100.0
Saint Barthelemy,1.0,0.0,0.0,100.0
Saint Pierre And Miquelon,1.0,0.0,0.0,100.0
Wallis And Futuna,1.0,0.0,0.0,100.0
Western Sahara,1.0,0.0,0.0,100.0
