Country,Total,Percentage,Previous Total,Growth Rate
South Korea,1339678.0,24.99,1175472.0,13.97
Usa,779217.0,14.54,722750.0,7.81
Japan,495662.0,9.25,463744.0,6.88
China,490841.0,9.16,394951.0,24.28
Australia,241187.0,4.5,224784.0,7.3
Singapore,181176.0,3.38,179099.0,1.16
Taiwan,177670.0,3.31,142973.0,24.27
Canada,156363.0,2.92,143899.0,8.66
Malaysia,155814.0,2.91,139245.0,11.9
United Kingdom,154589.0,2.88,133665.0,15.65
Hong Kong,122180.0,2.28,114100.0,7.08
Germany,75348.0,1.41,72801.0,3.5
India,74824.0,1.4,61152.0,22.36
Saudi Arabia,50884.0,0.95,43483.0,17.02
Residences,49074.0,0.92,43392.0,13.09
Indonesia,48178.0,0.9,46757.0,3.04
France,45505.0,0.85,38946.0,16.84
Thailand,44038.0,0.82,45943.0,-4.15
Guam,35262.0,0.66,38016.0,-7.24
Vietnam,31579.0,0.59,29800.0,5.97
Netherlands,28632.0,0.53,25236.0,13.46
Switzerland,27200.0,0.51,25548.0,6.47
Russian Federation,25278.0,0.47,32087.0,-21.22
Spain,24144.0,0.45,19353.0,24.76
Sweden,23206.0,0.43,21861.0,6.15
Italy,21620.0,0.4,19865.0,8.83
Norway,20968.0,0.39,20846.0,0.59
New Zealand,20579.0,0.38,17704.0,16.24
United Arab Emirates,16881.0,0.31,17000.0,-0.7
Denmark,15269.0,0.28,14298.0,6.79
Ireland,14050.0,0.26,12354.0,13.73
Belgium,12825.0,0.24,12236.0,4.81
Austria,12267.0,0.23,12410.0,-1.15
Israel,11756.0,0.22,8776.0,33.96
Macau,10160.0,0.19,8110.0,25.28
Commonwealth of Independent States,10100.0,0.19,6889.0,46.61
Brunei,9015.0,0.17,9677.0,-6.84
Poland,8030.0,0.15,5911.0,35.85
Myanmar,7033.0,0.13,6633.0,6.03
Finland,6548.0,0.12,5667.0,15.55
Turkey,6026.0,0.11,4301.0,40.11
Papua New Guinea,5910.0,0.11,6481.0,-8.81
Kuwait,5440.0,0.1,5290.0,2.84
Sri Lanka,5292.0,0.1,4068.0,30.09
Bangladesh,4664.0,0.09,3805.0,22.58
South Africa,4570.0,0.09,3606.0,26.73
Qatar,4472.0,0.08,3990.0,12.08
Pakistan,4346.0,0.08,3819.0,13.8
Bahrain,3562.0,0.07,4003.0,-11.02
Cambodia,3503.0,0.07,3276.0,6.93
Brazil,3495.0,0.07,2926.0,19.45
Mexico,3145.0,0.06,2716.0,15.8
Nepal,2908.0,0.05,2875.0,1.15
Iran,2505.0,0.05,2899.0,-13.59
Greece,2386.0,0.04,2063.0,15.66
Portugal,2206.0,0.04,1799.0,22.62
Argentina,1745.0,0.03,1252.0,39.38
Egypt,1630.0,0.03,1640.0,-0.61
Nigeria,1430.0,0.03,1713.0,-16.52
Laos,1231.0,0.02,1056.0,16.57
Colombia,1228.0,0.02,1023.0,20.04
Luxembourg,687.0,0.01,640.0,7.34
Jordan,677.0,0.01,757.0,-10.57
Peru,561.0,0.01,406.0,38.18
Andorra,329.0,0.01,1371.0,-76.0
Venezuela,221.0,0.0,228.0,-3.07
Nauru,20.0,0.0,28.0,-28.57
