Country,Total,Percentage,Previous Total,Growth Rate
South Korea,1134108.0,21.66,1569071.0,-27.72
Usa,894835.0,17.09,947891.0,-5.6
Japan,406794.0,7.77,388316.0,4.76
Australia,268892.0,5.14,272215.0,-1.22
China,248339.0,4.74,312222.0,-20.46
Canada,230509.0,4.4,223944.0,2.93
Taiwan,182664.0,3.49,208736.0,-12.49
United Kingdom,152344.0,2.91,160296.0,-4.96
Singapore,141091.0,2.69,157264.0,-10.28
Malaysia,87142.0,1.66,95713.0,-8.95
India,85885.0,1.64,78995.0,8.72
Germany,73248.0,1.4,79886.0,-8.31
Hong Kong,69879.0,1.33,79276.0,-11.85
France,64143.0,1.23,60743.0,5.6
Spain,44592.0,0.85,46146.0,-3.37
Thailand,43458.0,0.83,45896.0,-5.31
Indonesia,43417.0,0.83,57085.0,-23.94
Guam,36058.0,0.69,37609.0,-4.12
Netherlands,34239.0,0.65,34726.0,-1.4
United Arab Emirates,32867.0,0.63,40026.0,-17.89
Vietnam,30650.0,0.59,58098.0,-47.24
Italy,30597.0,0.58,29943.0,2.18
Russian Federation,27460.0,0.52,27602.0,-0.51
New Zealand,26599.0,0.51,28193.0,-5.65
Switzerland,23918.0,0.46,27050.0,-11.58
Israel,21760.0,0.42,15537.0,40.05
Saudi Arabia,20016.0,0.38,22429.0,-10.76
Poland,18575.0,0.35,15294.0,21.45
Norway,17952.0,0.34,19100.0,-6.01
United States Minor Outlying Islands,16063.0,0.31,12265.0,30.97
Ireland,15844.0,0.3,16111.0,-1.66
Sweden,15661.0,0.3,18144.0,-13.68
Belgium,14524.0,0.28,15094.0,-3.78
Denmark,13388.0,0.26,13759.0,-2.7
Austria,12719.0,0.24,14199.0,-10.42
Turkey,11034.0,0.21,13012.0,-15.2
Qatar,9765.0,0.19,11796.0,-17.22
Papua New Guinea,9183.0,0.18,8512.0,7.88
Bangladesh,8885.0,0.17,4814.0,84.57
Kuwait,6507.0,0.12,7702.0,-15.52
Czech Republic,6214.0,0.12,6993.0,-11.14
Romania,5692.0,0.11,5431.0,4.81
Portugal,5081.0,0.1,5306.0,-4.24
Bahrain,4958.0,0.09,6431.0,-22.9
Finland,4844.0,0.09,4935.0,-1.84
Brazil,4755.0,0.09,5116.0,-7.06
Brunei,4739.0,0.09,6011.0,-21.16
South Africa,4448.0,0.08,5018.0,-11.36
Pakistan,3992.0,0.08,4202.0,-5.0
Macau,3926.0,0.07,4470.0,-12.17
Nepal,3836.0,0.07,4050.0,-5.28
Myanmar,3697.0,0.07,9143.0,-59.56
Oman,3669.0,0.07,4277.0,-14.22
Greece,3509.0,0.07,3381.0,3.79
Mexico,3394.0,0.06,3269.0,3.82
Cambodia,3362.0,0.06,4010.0,-16.16
Mongolia,3234.0,0.06,4262.0,-24.12
Hungary,2809.0,0.05,2786.0,0.83
Bulgaria,2784.0,0.05,2604.0,6.91
Argentina,2687.0,0.05,2725.0,-1.39
Sri Lanka,2582.0,0.05,2955.0,-12.62
Slovakia,2576.0,0.05,2551.0,0.98
Lithuania,2182.0,0.04,1983.0,10.04
Northern Mariana Islands,2103.0,0.04,2256.0,-6.78
Morocco,1823.0,0.03,1861.0,-2.04
Chile,1783.0,0.03,1995.0,-10.63
Colombia,1764.0,0.03,2034.0,-13.27
Slovenia,1715.0,0.03,1810.0,-5.25
Kazakhstan,1709.0,0.03,2044.0,-16.39
Nigeria,1394.0,0.03,2292.0,-39.18
Croatia,1368.0,0.03,1552.0,-11.86
Maldives,1332.0,0.03,1510.0,-11.79
Cyprus,1325.0,0.03,1455.0,-8.93
Iceland,1301.0,0.02,1467.0,-11.32
Micronesia,1180.0,0.02,1122.0,5.17
Egypt,1169.0,0.02,1408.0,-16.97
