Country,Total,Percentage,Previous Total,Growth Rate
Estonia,1156.0,0.02,1456.0,-20.6
Malta,1122.0,0.02,1293.0,-13.23
Serbia,1107.0,0.02,1173.0,-5.63
Luxembourg,1105.0,0.02,1111.0,-0.54
Latvia,1073.0,0.02,1268.0,-15.38
Ukraine,1060.0,0.02,1187.0,-10.7
Palau,1033.0,0.02,1293.0,-20.11
Uruguay,1011.0,0.02,1099.0,-8.01
Laos,907.0,0.02,1113.0,-18.51
Peru,849.0,0.02,866.0,-1.96
Uzbekistan,835.0,0.02,830.0,0.6
Iran,794.0,0.02,1072.0,-25.93
Ghana,766.0,0.01,900.0,-14.89
Timor,757.0,0.01,674.0,12.31
Kenya,750.0,0.01,862.0,-12.99
Fiji,684.0,0.01,909.0,-24.75
Tunisia,681.0,0.01,872.0,-21.9
Cameroon,675.0,0.01,841.0,-19.74
Belarus,637.0,0.01,530.0,20.19
Solomon Islands,615.0,0.01,474.0,29.75
Marshall Islands,594.0,0.01,595.0,-0.17
Costa Rica,486.0,0.01,616.0,-21.1
Georgia,471.0,0.01,405.0,16.3
Jordan,470.0,0.01,570.0,-17.54
Zimbabwe,458.0,0.01,486.0,-5.76
Lebanon,456.0,0.01,559.0,-18.43
Isle Of Man,440.0,0.01,524.0,-16.03
Ecuador,432.0,0.01,456.0,-5.26
Tajikistan,376.0,0.01,274.0,37.23
Myanmar,3697.0,0.07,9143.0,-59.56
Oman,3669.0,0.07,4277.0,-14.22
Greece,3509.0,0.07,3381.0,3.79
Mexico,3394.0,0.06,3269.0,3.82
Cambodia,3362.0,0.06,4010.0,-16.16
Mongolia,3234.0,0.06,4262.0,-24.12
Hungary,2809.0,0.05,2786.0,0.83
Bulgaria,2784.0,0.05,2604.0,6.91
Argentina,2687.0,0.05,2725.0,-1.39
Sri Lanka,2582.0,0.05,2955.0,-12.62
Slovakia,2576.0,0.05,2551.0,0.98
Lithuania,2182.0,0.04,1983.0,10.04
Northern Mariana Islands,2103.0,0.04,2256.0,-6.78
Morocco,1823.0,0.03,1861.0,-2.04
Chile,1783.0,0.03,1995.0,-10.63
Colombia,1764.0,0.03,2034.0,-13.27
Slovenia,1715.0,0.03,1810.0,-5.25
Kazakhstan,1709.0,0.03,2044.0,-16.39
Nigeria,1394.0,0.03,2292.0,-39.18
Croatia,1368.0,0.03,1552.0,-11.86
Maldives,1332.0,0.03,1510.0,-11.79
Cyprus,1325.0,0.03,1455.0,-8.93
Iceland,1301.0,0.02,1467.0,-11.32
Micronesia,1180.0,0.02,1122.0,5.17
Egypt,1169.0,0.02,1408.0,-16.97
Estonia,1156.0,0.02,1456.0,-20.6
Malta,1122.0,0.02,1293.0,-13.23
Serbia,1107.0,0.02,1173.0,-5.63
Luxembourg,1105.0,0.02,1111.0,-0.54
Latvia,1073.0,0.02,1268.0,-15.38
Ukraine,1060.0,0.02,1187.0,-10.7
Palau,1033.0,0.02,1293.0,-20.11
Uruguay,1011.0,0.02,1099.0,-8.01
Laos,907.0,0.02,1113.0,-18.51
Peru,849.0,0.02,866.0,-1.96
Uzbekistan,835.0,0.02,830.0,0.6
Iran,794.0,0.02,1072.0,-25.93
Ghana,766.0,0.01,900.0,-14.89
Timor,757.0,0.01,674.0,12.31
Kenya,750.0,0.01,862.0,-12.99
Fiji,684.0,0.01,909.0,-24.75
Tunisia,681.0,0.01,872.0,-21.9
Cameroon,675.0,0.01,841.0,-19.74
Belarus,637.0,0.01,530.0,20.19
Solomon Islands,615.0,0.01,474.0,29.75
Marshall Islands,594.0,0.01,595.0,-0.17
Costa Rica,486.0,0.01,616.0,-21.1
Georgia,471.0,0.01,405.0,16.3
Jordan,470.0,0.01,570.0,-17.54
Zimbabwe,458.0,0.01,486.0,-5.76
Lebanon,456.0,0.01,559.0,-18.43
Isle Of Man,440.0,0.01,524.0,-16.03
Ecuador,432.0,0.01,456.0,-5.26
Tajikistan,376.0,0.01,274.0,37.23
Mauritius,373.0,0.01,430.0,-13.26
Armenia,368.0,0.01,384.0,-4.17
Kyrgyzstan,362.0,0.01,432.0,-16.2
Tanzania,346.0,0.01,379.0,-8.71
Panama,339.0,0.01,315.0,7.62
Bhutan,335.0,0.01,380.0,-11.84
Ethiopia,332.0,0.01,331.0,0.3
Jersey,295.0,0.01,358.0,-17.6
Turkmenistan,277.0,0.01,218.0,27.06
Guatemala,268.0,0.01,312.0,-14.1
Vanuatu,253.0,0.0,295.0,-14.24
Afghanistan,246.0,0.0,97.0,153.61
Cayman Islands,239.0,0.0,238.0,0.42
Puerto Rico,234.0,0.0,333.0,-29.73
Andorra,226.0,0.0,253.0,-10.67
Cote Divoire Ivory Coast,206.0,0.0,212.0,-2.83
Uganda,200.0,0.0,400.0,-50.0
Jamaica,194.0,0.0,266.0,-27.07
Trinidad And Tobago,193.0,0.0,230.0,-16.09
Syria,191.0,0.0,228.0,-16.23
Honduras,190.0,0.0,211.0,-9.95
Moldova,187.0,0.0,177.0,5.65
Bermuda,185.0,0.0,244.0,-24.18
Zambia,183.0,0.0,255.0,-28.24
Albania,181.0,0.0,212.0,-14.62
Guernsey,180.0,0.0,180.0,0.0
Angola,179.0,0.0,195.0,-8.21
Dominican Republic,176.0,0.0,158.0,11.39
New Caledonia,175.0,0.0,216.0,-18.98
French Polynesia,174.0,0.0,153.0,13.73
Bosnia And Herzegovina,170.0,0.0,160.0,6.25
Reunion,170.0,0.0,172.0,-1.16
El Salvador,167.0,0.0,154.0,8.44
Venezuela,167.0,0.0,172.0,-2.91
Liberia,161.0,0.0,141.0,14.18
American Samoa,151.0,0.0,194.0,-22.16
Monaco,146.0,0.0,165.0,-11.52
Paraguay,146.0,0.0,138.0,5.8
Gibraltar,145.0,0.0,145.0,0.0
Samoa,144.0,0.0,165.0,-12.73
Iraq,142.0,0.0,258.0,-44.96
Faroe Islands,140.0,0.0,156.0,-10.26
Congo Democratic Republic Of,139.0,0.0,210.0,-33.81
Azerbaijan,132.0,0.0,98.0,34.69
Macedonia,128.0,0.0,99.0,29.29
British Indian Ocean Territory,121.0,0.0,184.0,-34.24
Bahamas,120.0,0.0,118.0,1.69
Madagascar,120.0,0.0,198.0,-39.39
Malawi,119.0,0.0,108.0,10.19
Sudan,113.0,0.0,146.0,-22.6
Montenegro,104.0,0.0,117.0,-11.11
Aland Islands,99.0,0.0,129.0,-23.26
Liechtenstein,98.0,0.0,117.0,-16.24
Namibia,96.0,0.0,119.0,-19.33
Aruba,95.0,0.0,104.0,-8.65
Libya,94.0,0.0,89.0,5.62
Algeria,92.0,0.0,115.0,-20.0
Kiribati,92.0,0.0,87.0,5.75
Seychelles,92.0,0.0,73.0,26.03
Bolivia,91.0,0.0,152.0,-40.13
Senegal,91.0,0.0,153.0,-40.52
Botswana,90.0,0.0,74.0,21.62
Tonga,87.0,0.0,143.0,-39.16
Nicaragua,78.0,0.0,118.0,-33.9
Saint Kitts And Nevis,74.0,0.0,104.0,-28.85
Mozambique,72.0,0.0,91.0,-20.88
Rwanda,72.0,0.0,109.0,-33.94
Eswatini,69.0,0.0,77.0,-10.39
Congo Republic Of Cap Brazzaville,62.0,0.0,51.0,21.57
Turks And Caicos,62.0,0.0,56.0,10.71
Belize,60.0,0.0,54.0,11.11
Yemen,58.0,0.0,53.0,9.43
Saint Lucia,56.0,0.0,69.0,-18.84
Haiti,54.0,0.0,68.0,-20.59
Benin,53.0,0.0,42.0,26.19
Chad,52.0,0.0,32.0,62.5
Greenland,52.0,0.0,44.0,18.18
Equatorial Guinea,51.0,0.0,44.0,15.91
Barbados,48.0,0.0,57.0,-15.79
Cook Islands,48.0,0.0,63.0,-23.81
Burkina Faso,47.0,0.0,62.0,-24.19
Guyana,46.0,0.0,48.0,-4.17
Togo,45.0,0.0,70.0,-35.71
Guinea,44.0,0.0,65.0,-32.31
Guinea,44.0,0.0,10.0,340.0
Antigua And Barbuda,43.0,0.0,37.0,16.22
French Southern Territories,40.0,0.0,36.0,11.11
Dominica,39.0,0.0,33.0,18.18
San Marino,39.0,0.0,35.0,11.43
Virgin Islands Us,39.0,0.0,50.0,-22.0
Tuvalu,38.0,0.0,43.0,-11.63
Gambia,37.0,0.0,51.0,-27.45
Mali,36.0,0.0,42.0,-14.29
Curacao,34.0,0.0,34.0,0.0
Cuba,33.0,0.0,9.0,266.67
Palestine State,32.0,0.0,36.0,-11.11
Suriname,30.0,0.0,32.0,-6.25
British Virgin Islands,29.0,0.0,38.0,-23.68
Somalia,29.0,0.0,23.0,26.09
Djibouti,28.0,0.0,18.0,55.56
Falkland Islands Malvinas,28.0,0.0,40.0,-30.0
Sint Maarten Dutch Part,27.0,0.0,36.0,-25.0
Kosovo,25.0,0.0,13.0,92.31
Gabon,24.0,0.0,31.0,-22.58
Eritrea,21.0,0.0,27.0,-22.22
Nauru,21.0,0.0,37.0,-43.24
Niger,21.0,0.0,16.0,31.25
Anguilla,20.0,0.0,16.0,25.0
French Guiana,20.0,0.0,11.0,81.82
Grenada,20.0,0.0,22.0,-9.09
Central African Republic,19.0,0.0,19.0,0.0
Saint Vincent And The Grenadines,18.0,0.0,23.0,-21.74
Sierra Leone,18.0,0.0,22.0,-18.18
Cabo Verde,17.0,0.0,14.0,21.43
Mauritania,16.0,0.0,16.0,0.0
Bonaire Sint Eustatius And Saba,14.0,0.0,13.0,7.69
Burundi,14.0,0.0,46.0,-69.57
Guadeloupe,14.0,0.0,31.0,-54.84
Lesotho,14.0,0.0,20.0,-30.0
Comoros,13.0,0.0,11.0,18.18
Martinique,13.0,0.0,24.0,-45.83
Saint Martin French Part,11.0,0.0,5.0,120.0
Saint Barthelemy,10.0,0.0,11.0,-9.09
Guinea,7.0,0.0,65.0,-89.23
Guinea,7.0,0.0,10.0,-30.0
Christmas Island,4.0,0.0,10.0,-60.0
Niue,4.0,0.0,19.0,-78.95
Sao Tome And Principe,4.0,0.0,1.0,300.0
Norfolk Island,3.0,0.0,7.0,-57.14
Svalbard And Jan Mayen,3.0,0.0,5.0,-40.0
Vatican City State,3.0,0.0,2.0,50.0
Antarctica,2.0,0.0,3.0,-33.33
Mayotte,2.0,0.0,2.0,0.0
Wallis And Futuna,2.0,0.0,18.0,-88.89
Saint Helena,1.0,0.0,2.0,-50.0
North Korea,0.0,0.0,10.0,-100.0
Saint Pierre And Miquelon,0.0,0.0,1.0,-100.0
