Country,Total,Percentage,Previous Total,Growth Rate
South Korea,1624251.0,22.66,1607821.0,1.02
China,1257962.0,17.55,968447.0,29.89
Usa,1034471.0,14.43,957813.0,8.0
Japan,631821.0,8.81,584180.0,8.16
Australia,279828.0,3.9,259433.0,7.86
Taiwan,242411.0,3.38,236777.0,2.38
Canada,226446.0,3.16,200640.0,12.86
United Kingdom,201044.0,2.8,182708.0,10.04
Singapore,171796.0,2.4,168637.0,1.87
Malaysia,145246.0,2.03,143566.0,1.17
India,121124.0,1.69,107278.0,12.91
Hong Kong,117992.0,1.65,111135.0,6.17
Germany,92098.0,1.28,85431.0,7.8
Indonesia,76652.0,1.07,62923.0,21.82
France,74400.0,1.04,64777.0,14.86
Residences,71007.0,0.99,59115.0,20.12
Thailand,59793.0,0.83,48727.0,22.71
Vietnam,52334.0,0.73,39951.0,31.0
Saudi Arabia,46967.0,0.66,54716.0,-14.16
Spain,44133.0,0.62,36954.0,19.43
Netherlands,37051.0,0.52,33821.0,9.55
Italy,35182.0,0.49,30437.0,15.59
New Zealand,33341.0,0.47,28983.0,15.04
Guam,32357.0,0.45,36637.0,-11.68
Switzerland,31075.0,0.43,29837.0,4.15
Russian Federation,29967.0,0.42,33279.0,-9.95
Sweden,28085.0,0.39,27703.0,1.38
Norway,23571.0,0.33,21890.0,7.68
Israel,20343.0,0.28,17446.0,16.61
Ireland,20051.0,0.28,18051.0,11.08
Denmark,17884.0,0.25,18445.0,-3.04
Belgium,17285.0,0.24,15703.0,10.07
United Arab Emirates,15402.0,0.21,16399.0,-6.08
Austria,14193.0,0.2,13524.0,4.95
Poland,12568.0,0.18,10786.0,16.52
Commonwealth of Independent States,11514.0,0.16,10808.0,6.53
Myanmar,9630.0,0.13,9571.0,0.62
Brunei,9533.0,0.13,8679.0,9.84
Macau,9336.0,0.13,9111.0,2.47
Nepal,8696.0,0.12,5328.0,63.21
Turkey,8615.0,0.12,8408.0,2.46
Papua New Guinea,8481.0,0.12,8110.0,4.57
South Africa,7543.0,0.11,6471.0,16.57
Brazil,7364.0,0.1,6114.0,20.44
Finland,7219.0,0.1,6958.0,3.75
Kuwait,6448.0,0.09,8082.0,-20.22
Sri Lanka,6446.0,0.09,5343.0,20.64
Portugal,5549.0,0.08,4189.0,32.47
Bangladesh,5495.0,0.08,4591.0,19.69
Pakistan,4999.0,0.07,4369.0,14.42
Mexico,4248.0,0.06,5744.0,-26.04
Cambodia,4154.0,0.06,4712.0,-11.84
Qatar,3781.0,0.05,4195.0,-9.87
Bahrain,3638.0,0.05,3795.0,-4.14
Argentina,3468.0,0.05,3157.0,9.85
Greece,3453.0,0.05,3165.0,9.1
Oman,2735.0,0.04,2839.0,-3.66
Iran,2456.0,0.03,2598.0,-5.47
Colombia,2389.0,0.03,1747.0,36.75
Egypt,2155.0,0.03,2000.0,7.75
Nigeria,2104.0,0.03,1558.0,35.04
Laos,1183.0,0.02,1580.0,-25.13
Jordan,1129.0,0.02,745.0,51.54
Peru,1038.0,0.01,1008.0,2.98
Luxembourg,930.0,0.01,722.0,28.81
Venezuela,423.0,0.01,257.0,64.59
Andorra,273.0,0.0,357.0,-23.53
Nauru,38.0,0.0,16.0,137.5
