Country,Total,Percentage,Previous Total,Growth Rate
South Korea,1989322.0,24.08,1624251.0,22.48
China,1743309.0,21.1,1257962.0,38.58
Usa,1064440.0,12.89,1034471.0,2.9
Japan,682788.0,8.27,631821.0,8.07
Taiwan,327273.0,3.96,242411.0,35.01
Australia,286170.0,3.46,279828.0,2.27
Canada,238850.0,2.89,226446.0,5.48
United Kingdom,209206.0,2.53,201044.0,4.06
Singapore,158595.0,1.92,171796.0,-7.68
Malaysia,139882.0,1.69,145246.0,-3.69
India,134963.0,1.63,121124.0,11.43
Germany,103756.0,1.26,92098.0,12.66
Hong Kong,91653.0,1.11,117992.0,-22.32
France,88577.0,1.07,74400.0,19.06
Residences,86799.0,1.05,71007.0,22.24
Indonesia,70819.0,0.86,76652.0,-7.61
Vietnam,66698.0,0.81,52334.0,27.45
Thailand,61292.0,0.74,59793.0,2.51
Spain,49748.0,0.6,44133.0,12.72
Saudi Arabia,43748.0,0.53,46967.0,-6.85
Netherlands,41313.0,0.5,37051.0,11.5
Italy,38951.0,0.47,35182.0,10.71
New Zealand,37872.0,0.46,33341.0,13.59
Russian Federation,36111.0,0.44,29967.0,20.5
Switzerland,29966.0,0.36,31075.0,-3.57
Sweden,27892.0,0.34,28085.0,-0.69
Norway,23464.0,0.28,23571.0,-0.45
Israel,22851.0,0.28,20343.0,12.33
Ireland,21475.0,0.26,20051.0,7.1
Guam,19835.0,0.24,32357.0,-38.7
Belgium,19156.0,0.23,17285.0,10.82
Denmark,18535.0,0.22,17884.0,3.64
Poland,15816.0,0.19,12568.0,25.84
Austria,14840.0,0.18,14193.0,4.56
Myanmar,13978.0,0.17,9630.0,45.15
Commonwealth of Independent States,12048.0,0.15,11514.0,4.64
United Arab Emirates,10192.0,0.12,15402.0,-33.83
Brazil,10035.0,0.12,7364.0,36.27
Papua New Guinea,8828.0,0.11,8481.0,4.09
Turkey,8654.0,0.1,8615.0,0.45
South Africa,8553.0,0.1,7543.0,13.39
Macau,8429.0,0.1,9336.0,-9.72
Finland,8420.0,0.1,7219.0,16.64
Brunei,8126.0,0.1,9533.0,-14.76
Portugal,8113.0,0.1,5549.0,46.21
Bangladesh,6630.0,0.08,5495.0,20.66
Sri Lanka,6412.0,0.08,6446.0,-0.53
Kuwait,6309.0,0.08,6448.0,-2.16
Nepal,6018.0,0.07,8696.0,-30.8
Cambodia,5988.0,0.07,4154.0,44.15
Pakistan,5793.0,0.07,4999.0,15.88
Mexico,5154.0,0.06,4248.0,21.33
Greece,3849.0,0.05,3453.0,11.47
Argentina,3643.0,0.04,3468.0,5.05
Nigeria,3439.0,0.04,2104.0,63.45
Colombia,3386.0,0.04,2389.0,41.73
Bahrain,3296.0,0.04,3638.0,-9.4
Egypt,3210.0,0.04,2155.0,48.96
Oman,2526.0,0.03,2735.0,-7.64
Qatar,2491.0,0.03,3781.0,-34.12
Iran,2290.0,0.03,2456.0,-6.76
Jordan,1931.0,0.02,1129.0,71.04
Peru,1660.0,0.02,1038.0,59.92
Laos,1454.0,0.02,1183.0,22.91
Luxembourg,837.0,0.01,930.0,-10.0
Venezuela,702.0,0.01,423.0,65.96
Nauru,93.0,0.0,38.0,144.74
Andorra,25.0,0.0,273.0,-90.84
