Country,Total,Percentage,Previous Total,Growth Rate
Usa,39326.0,24.0,211816.0,-81.43
Japan,15024.0,9.17,136664.0,-89.01
China,9674.0,5.9,170432.0,-94.32
Residences,8568.0,5.23,25590.0,-66.52
India,7202.0,4.39,29014.0,-75.18
Canada,6781.0,4.14,55273.0,-87.73
South Korea,6456.0,3.94,338877.0,-98.09
Turkey,4374.0,2.67,3619.0,20.86
United Kingdom,4348.0,2.65,39980.0,-89.12
United Arab Emirates,2733.0,1.67,2518.0,8.54
Saudi Arabia,2252.0,1.37,7014.0,-67.89
Australia,2184.0,1.33,55330.0,-96.05
Germany,2037.0,1.24,25893.0,-92.13
Indonesia,1888.0,1.15,13734.0,-86.25
Commonwealth of Independent States,1870.0,1.14,4644.0,-59.73
Bahrain,1864.0,1.14,1094.0,70.38
Vietnam,1785.0,1.09,11406.0,-84.35
Malaysia,1620.0,0.99,23359.0,-93.06
Taiwan,1619.0,0.99,48644.0,-96.67
Netherlands,1510.0,0.92,8961.0,-83.15
Thailand,1464.0,0.89,9788.0,-85.04
France,1425.0,0.87,24530.0,-94.19
Qatar,1308.0,0.8,987.0,32.52
Spain,1220.0,0.74,9621.0,-87.32
Italy,1212.0,0.74,8976.0,-86.5
Egypt,1076.0,0.66,1213.0,-11.29
Russian Federation,1027.0,0.63,12643.0,-91.88
Oman,905.0,0.55,700.0,29.29
South Africa,826.0,0.5,2159.0,-61.74
Kuwait,662.0,0.4,1171.0,-43.47
Singapore,653.0,0.4,19998.0,-96.73
Belgium,648.0,0.4,3756.0,-82.75
Guam,644.0,0.39,2882.0,-77.65
Brazil,612.0,0.37,2750.0,-77.75
Ireland,600.0,0.37,3621.0,-83.43
Switzerland,598.0,0.36,7094.0,-91.57
Pakistan,584.0,0.36,1340.0,-56.42
Poland,520.0,0.32,5429.0,-90.42
Sweden,508.0,0.31,6996.0,-92.74
Norway,508.0,0.31,4365.0,-88.36
Greece,500.0,0.31,1325.0,-62.26
Israel,452.0,0.28,4745.0,-90.47
Austria,381.0,0.23,3875.0,-90.17
Papua New Guinea,381.0,0.23,1434.0,-73.43
Hong Kong,354.0,0.22,12444.0,-97.16
Denmark,353.0,0.22,4848.0,-92.72
New Zealand,345.0,0.21,6883.0,-94.99
Portugal,339.0,0.21,2072.0,-83.64
Bangladesh,323.0,0.2,1217.0,-73.46
Sri Lanka,301.0,0.18,1117.0,-73.05
Nigeria,300.0,0.18,1042.0,-71.21
Myanmar,271.0,0.17,2877.0,-90.58
Mexico,243.0,0.15,983.0,-75.28
Finland,212.0,0.13,2135.0,-90.07
Jordan,209.0,0.13,397.0,-47.36
Argentina,204.0,0.12,1432.0,-85.75
Colombia,184.0,0.11,722.0,-74.52
Nepal,178.0,0.11,940.0,-81.06
Iran,172.0,0.1,411.0,-58.15
Venezuela,75.0,0.05,185.0,-59.46
Peru,59.0,0.04,350.0,-83.14
Cambodia,40.0,0.02,942.0,-95.75
Brunei,37.0,0.02,1037.0,-96.43
Luxembourg,27.0,0.02,156.0,-82.69
Macau,27.0,0.02,789.0,-96.58
Laos,15.0,0.01,203.0,-92.61
Andorra,1.0,0.0,8.0,-87.5
Nauru,0.0,0.0,5.0,-100.0
